Price,Close,High,Low,Open,Volume
Ticker,AEHL,AEHL,AEHL,AEHL,AEHL
Date,,,,,
2015-01-05,8160.0,8256.0,7584.0,7776.0,4
2015-01-06,8160.0,8160.0,7968.0,7968.0,2
2015-01-07,8160.0,8256.0,7968.0,8256.0,2
2015-01-08,8160.0,8352.0,8160.0,8160.0,2
2015-01-09,8640.0,8640.0,8160.0,8352.0,0
2015-01-12,8640.0,8640.0,8256.0,8256.0,2
2015-01-13,8640.0,8736.0,8256.0,8256.0,1
2015-01-14,8640.0,8640.0,8640.0,8640.0,0
2015-01-15,8640.0,9024.0,7680.0,7776.0,2
2015-01-16,8640.0,9120.0,8640.0,9120.0,4
2015-01-20,7776.0,8256.0,7776.0,8256.0,2
2015-01-21,8448.0,8736.0,8064.0,8256.0,2
2015-01-22,8640.0,8640.0,8352.0,8352.0,0
2015-01-23,8448.0,8640.0,8160.0,8640.0,0
2015-01-26,8640.0,9408.0,8544.0,8544.0,1
2015-01-27,8640.0,8640.0,7680.0,8640.0,7
2015-01-28,8544.0,8640.0,7680.0,8640.0,0
2015-01-29,8640.0,8640.0,8640.0,8640.0,0
2015-01-30,8160.0,8544.0,8160.0,8160.0,3
2015-02-02,8160.0,8544.0,8160.0,8160.0,2
2015-02-03,8256.0,8544.0,8160.0,8160.0,2
2015-02-04,8160.0,8448.0,8160.0,8256.0,1
2015-02-05,8544.0,8544.0,8160.0,8160.0,1
2015-02-06,8352.0,8640.0,8352.0,8352.0,1
2015-02-09,8256.0,8544.0,8160.0,8160.0,0
2015-02-10,8448.0,8448.0,8160.0,8160.0,0
2015-02-11,8160.0,8448.0,8160.0,8256.0,1
2015-02-12,8160.0,8352.0,7776.0,8160.0,1
2015-02-13,8160.0,8544.0,8160.0,8160.0,1
2015-02-17,8352.0,8448.0,7968.0,8064.0,0
2015-02-18,8928.0,8928.0,8160.0,8160.0,3
2015-02-19,8544.0,8736.0,8256.0,8640.0,0
2015-02-20,8448.0,8832.0,8256.0,8256.0,1
2015-02-23,8736.0,9120.0,8544.0,8544.0,2
2015-02-24,9024.0,9120.0,8640.0,8928.0,1
2015-02-25,8832.0,9408.0,8832.0,9408.0,5
2015-02-26,9600.0,10464.0,8832.0,8832.0,13
2015-02-27,9984.0,10368.0,9792.0,9984.0,3
2015-03-02,11424.0,12000.0,9984.0,10368.0,16
2015-03-03,11520.0,11520.0,9696.0,10848.0,10
2015-03-04,10848.0,11904.0,10560.0,11424.0,1
2015-03-05,10656.0,11424.0,10560.0,11424.0,2
2015-03-06,10848.0,12000.0,10560.0,11424.0,10
2015-03-09,11520.0,12000.0,10848.0,10848.0,1
2015-03-10,10560.0,11904.0,10272.0,11136.0,8
2015-03-11,10080.0,11040.0,9600.0,10560.0,8
2015-03-12,10560.0,10560.0,9600.0,9888.0,6
2015-03-13,10560.0,10944.0,9888.0,10080.0,1
2015-03-16,10848.0,11328.0,10560.0,10560.0,2
2015-03-17,11328.0,11616.0,11136.0,11136.0,1
2015-03-18,11136.0,12000.0,10944.0,11328.0,13
2015-03-19,11424.0,11808.0,11136.0,11136.0,2
2015-03-20,11808.0,11808.0,11040.0,11232.0,3
2015-03-23,11904.0,12288.0,11712.0,11808.0,3
2015-03-24,11712.0,12384.0,11232.0,12288.0,6
2015-03-25,11232.0,11904.0,11040.0,11904.0,3
2015-03-26,11232.0,11328.0,11232.0,11232.0,4
2015-03-27,10752.0,11424.0,10752.0,11424.0,3
2015-03-30,10848.0,11328.0,10752.0,10752.0,3
2015-03-31,11136.0,11136.0,9984.0,10560.0,2
2015-04-01,11232.0,11328.0,10560.0,10560.0,1
2015-04-02,11232.0,11520.0,10848.0,11232.0,5
2015-04-06,11328.0,11424.0,11040.0,11424.0,1
2015-04-07,11232.0,11328.0,10944.0,11232.0,7
2015-04-08,11232.0,12000.0,11232.0,11520.0,5
2015-04-09,11616.0,12000.0,11328.0,11520.0,4
2015-04-10,12096.0,14688.0,11328.0,11328.0,83
2015-04-13,12576.0,13152.0,12000.0,12576.0,18
2015-04-14,13536.0,18624.0,13152.0,14016.0,532
2015-04-15,12960.0,13632.0,12672.0,13056.0,45
2015-04-16,13344.0,14208.0,12960.0,13536.0,12
2015-04-17,13632.0,13920.0,12960.0,13440.0,8
2015-04-20,12288.0,13440.0,12000.0,13440.0,11
2015-04-21,12480.0,12480.0,11520.0,11616.0,10
2015-04-22,12192.0,12960.0,11808.0,11904.0,7
2015-04-23,12768.0,12960.0,11808.0,12480.0,10
