Price,Close,High,Low,Open,Volume
Ticker,AEMD,AEMD,AEMD,AEMD,AEMD
Date,,,,,
2015-01-05,2400.0,3000.0,2325.0,2925.0,674
2015-01-06,2400.0,2550.0,2250.0,2400.0,278
2015-01-07,2400.0,2550.0,2325.0,2400.0,98
2015-01-08,2325.0,2475.0,2250.0,2400.0,183
2015-01-09,2400.0,2400.0,2250.0,2325.0,179
2015-01-12,2250.0,2400.0,2250.0,2325.0,149
2015-01-13,2175.0,2325.0,2025.0,2250.0,219
2015-01-14,2175.0,2250.0,2100.0,2250.0,91
2015-01-15,2025.0,2175.0,2025.0,2175.0,142
2015-01-16,2100.0,2175.0,2025.0,2100.0,53
2015-01-20,2025.0,2100.0,1950.0,2100.0,106
2015-01-21,1725.0,2025.0,1725.0,2025.0,273
2015-01-22,1875.0,1950.0,1725.0,1725.0,190
2015-01-23,1950.0,1950.0,1800.0,1875.0,73
2015-01-26,2025.0,2100.0,1875.0,1875.0,84
2015-01-27,1875.0,2025.0,1875.0,2025.0,71
2015-01-28,1950.0,1950.0,1875.0,1950.0,81
2015-01-29,1875.0,1950.0,1800.0,1875.0,114
2015-01-30,1875.0,1875.0,1800.0,1875.0,56
2015-02-02,1650.0,1875.0,1575.0,1875.0,322
2015-02-03,1575.0,1650.0,1500.0,1575.0,226
2015-02-04,1500.0,1650.0,1500.0,1650.0,103
2015-02-05,1800.0,2025.0,1500.0,1500.0,170
2015-02-06,1650.0,1875.0,1650.0,1875.0,102
2015-02-09,1650.0,1800.0,1650.0,1725.0,73
2015-02-10,1575.0,1725.0,1575.0,1725.0,58
2015-02-11,1500.0,1575.0,1350.0,1500.0,293
2015-02-12,1575.0,1575.0,1500.0,1500.0,63
2015-02-13,1650.0,1725.0,1575.0,1650.0,140
2015-02-17,1575.0,1650.0,1500.0,1575.0,149
2015-02-18,1425.0,1500.0,1425.0,1500.0,133
2015-02-19,1425.0,1500.0,1425.0,1500.0,157
2015-02-20,1425.0,1500.0,1425.0,1425.0,109
2015-02-23,1425.0,1500.0,1350.0,1500.0,119
2015-02-24,1350.0,1425.0,1350.0,1350.0,110
2015-02-25,1275.0,1350.0,1275.0,1350.0,243
2015-02-26,1575.0,1575.0,1275.0,1350.0,353
2015-02-27,1425.0,1725.0,1425.0,1650.0,183
2015-03-02,1500.0,1500.0,1425.0,1500.0,46
2015-03-03,1425.0,1500.0,1425.0,1500.0,61
2015-03-04,1575.0,1650.0,1425.0,1425.0,180
2015-03-05,1725.0,1725.0,1575.0,1575.0,238
2015-03-06,1575.0,1800.0,1500.0,1725.0,109
2015-03-09,1650.0,1650.0,1575.0,1575.0,54
2015-03-10,1575.0,1650.0,1500.0,1575.0,138
2015-03-11,1500.0,1575.0,1500.0,1575.0,86
2015-03-12,1500.0,1575.0,1500.0,1500.0,104
2015-03-13,1500.0,1575.0,1500.0,1500.0,76
2015-03-16,1800.0,1800.0,1575.0,1575.0,268
2015-03-17,1875.0,2100.0,1725.0,1725.0,306
2015-03-18,1875.0,2025.0,1800.0,1875.0,172
2015-03-19,1725.0,1875.0,1650.0,1875.0,72
2015-03-20,1800.0,1800.0,1650.0,1650.0,44
2015-03-23,1875.0,1950.0,1725.0,1800.0,66
2015-03-24,1800.0,1950.0,1800.0,1875.0,99
2015-03-25,1725.0,1875.0,1650.0,1800.0,57
2015-03-26,1575.0,1725.0,1500.0,1725.0,120
2015-03-27,1575.0,1725.0,1575.0,1575.0,94
2015-03-30,1800.0,1950.0,1575.0,1650.0,134
2015-03-31,1725.0,1800.0,1650.0,1725.0,44
2015-04-01,1800.0,1875.0,1725.0,1800.0,65
2015-04-02,1800.0,1875.0,1725.0,1800.0,76
2015-04-06,1800.0,1800.0,1725.0,1800.0,61
2015-04-07,1875.0,1950.0,1800.0,1800.0,72
2015-04-08,1500.0,1725.0,1425.0,1725.0,1202
2015-04-09,1575.0,1650.0,1500.0,1500.0,535
2015-04-10,1575.0,1650.0,1500.0,1650.0,136
2015-04-13,1500.0,1575.0,1500.0,1500.0,112
2015-04-14,1800.0,1815.0,1560.0,1560.0,71
2015-04-15,2100.0,2100.0,1800.0,1830.0,238
2015-04-16,1860.0,2287.5,1800.0,2122.5,408
2015-04-17,1725.0,1905.0,1666.5,1905.0,175
2015-04-20,1800.0,2235.0,1522.5,1867.5,537
2015-04-21,1800.0,1875.0,1740.0,1762.5,99
2015-04-22,1680.0,1785.0,1650.0,1783.5,107
2015-04-23,1576.5,1668.0,1533.0,1668.0,115
2015-04-24,1567.5,1582.5,1557.0,1575.0,70
2015-04-27,1440.0,1557.0,1425.0,1557.0,155
2015-04-28,1350.0,1497.0,1282.5,1440.0,135
2015-04-29,1297.5,1323.0,1269.0,1275.0,186
2015-04-30,1222.5,1297.5,1050.0,1297.5,132
2015-05-01,1276.5,1278.0,1125.0,1185.0,363
2015-05-04,1351.5,1635.0,1275.0,1348.5,214
2015-05-05,1276.5,1351.5,1260.0,1351.5,128
2015-05-06,1302.0,1335.0,1275.0,1302.0,69
2015-05-07,1288.5,1320.0,1275.0,1305.0,67
2015-05-08,1323.0,1335.0,1290.0,1303.5,143
2015-05-11,1342.5,1350.0,1323.0,1323.0,41
2015-05-12,1312.5,1348.5,1288.5,1348.5,69
