breakout_date,breakout_price,volume
1999-11-30,97.87,7528400
1999-12-01,103.06,5522900
1999-12-02,110.19,5065700
1999-12-03,115.0,5785000
1999-12-06,116.0,4167700
1999-12-07,117.81,3973400
2000-01-03,111.94,4783900
2000-01-18,103.94,4099800
2000-01-19,106.56,5336100
2000-01-20,113.5,16349400
2000-03-01,130.31,9616100
2000-03-21,134.94,4681500
2000-03-22,144.19,5071400
2000-03-23,141.31,5022900
2000-06-20,101.25,4476700
2000-07-10,57.13,7103500
2000-07-11,56.94,6391000
2000-08-17,51.44,4837500
2000-08-23,54.31,4229700
2000-08-24,56.11,5549400
2000-08-25,56.81,5972500
2000-08-28,58.06,6410800
2000-08-29,59.19,4768400
2000-08-30,59.5,5096300
2000-08-31,60.94,7492800
2000-09-01,63.44,4587000
2000-09-05,62.44,5332900
2001-01-03,16.37,14590600
2001-01-04,17.06,13203500
2001-01-18,18.69,21910900
2001-01-19,19.5,13869000
2001-01-23,20.5,15705900
2001-01-24,20.5,12805200
2001-01-29,21.69,15277300
2001-01-30,21.75,12364700
2001-03-06,21.5,13067900
2001-03-07,21.25,7491800
2001-03-22,21.62,12916100
2001-03-23,23.0,16873000
2001-03-26,21.78,13115200
2001-04-19,25.72,33458400
2001-04-20,25.04,12382200
2001-06-25,23.99,7849100
2001-07-12,24.36,10978600
2001-07-13,24.85,8120400
2001-07-17,25.1,11568400
2001-10-22,19.02,6998900
2001-11-07,19.59,6839100
2001-11-19,20.0,5939100
2001-11-26,21.37,8226600
2001-11-27,21.0,4795600
2001-12-04,22.4,6793200
2001-12-05,23.76,10153200
2001-12-06,22.78,6052400
2001-12-28,22.43,5341500
2002-01-02,23.3,9455300
2002-01-03,23.58,10928700
2002-01-04,23.69,7321000
2002-01-23,23.02,7915700
2002-01-30,24.09,8421000
2002-01-31,24.72,8365100
2002-02-01,24.41,7112600
2002-02-04,25.35,9328100
2002-02-05,25.45,8158700
2002-04-04,24.9,6044600
2002-04-05,24.74,4970500
2002-04-16,25.74,10974600
2002-04-17,26.11,7075900
2002-05-14,25.61,9401900
2002-05-15,25.28,5996900
2002-08-15,15.61,5751400
2002-09-17,14.8,7642800
2002-09-18,15.02,5868600
2002-10-15,15.16,7241400
2002-10-28,15.61,6237500
2002-10-31,16.07,5282800
2002-11-04,16.89,6728900
2002-12-11,15.49,4526800
2003-01-28,14.58,5111700
2003-01-29,14.58,6661500
2003-02-18,15.27,5194600
2003-03-17,15.01,7141300
2003-04-28,13.86,11371400
2003-04-29,14.06,8182800
2003-04-30,14.22,8181700
2003-05-05,16.09,27780500
2003-05-06,17.5,27044500
2003-05-07,17.65,18828200
2003-05-08,18.0,12281000
2003-06-18,19.12,8124700
2003-06-19,19.14,6813000
2003-07-07,19.87,5112000
2003-07-17,20.9,13414500
2003-07-18,20.859,5336400
2003-08-20,21.01,4878800
2003-08-21,21.68,4559400
2003-08-28,22.19,5707600
2003-08-29,22.61,4699200
2003-09-02,22.85,4323800
2003-09-03,22.95,4800500
2003-10-03,21.69,5350000
2003-10-06,22.29,4791600
2003-10-07,23.22,7467400
2003-10-08,23.06,7654800
2003-10-09,23.45,6209800
2003-10-15,24.82,10894700
2003-12-01,21.71,6456000
2004-01-05,22.17,7053900
2004-01-06,22.09,9095500
2004-01-07,22.59,10479900
2004-01-08,23.36,8219700
2004-01-09,23.0,7633200
2004-01-14,24.2,11072200
2004-02-11,23.8,6224000
2004-02-27,23.92,8372100
2004-03-01,24.02,5744300
2004-03-04,25.16,11789700
2004-03-05,26.74,27510700
2004-03-08,26.0,9337000
2004-03-10,27.68,17981500
2004-04-15,29.3,31454400
2004-05-25,28.41,5713900
2004-05-26,28.51,5753000
2004-06-02,28.92,5691300
2004-06-07,29.81,5283500
2004-06-08,30.35,7421800
2004-06-09,30.2,6235800
2004-06-16,32.74,16243600
2004-06-17,32.81,9845000
2004-06-23,33.7,6979800
2004-07-15,32.93,31566500
2004-08-18,31.74,6511700
2004-08-24,31.95,6681000
2004-08-25,33.05,9028900
2004-08-26,34.66,17068900
2004-08-27,34.35,6943100
2004-09-01,35.86,9209400
2004-09-02,35.66,7255800
2004-09-17,37.14,8969800
2004-09-30,38.75,7589500
2004-10-05,39.37,7252900
2004-10-06,40.64,7969700
2004-10-14,44.98,49436200
2004-10-15,45.5,18413000
2004-10-18,47.75,21442000
2004-10-19,47.42,14321300
2004-10-27,50.3,21312400
2004-10-28,52.19,15433300
2004-10-29,52.4,14468200
2004-11-03,55.31,21503100
2004-11-04,54.45,16582600
2004-11-22,61.35,45860900
2004-11-23,61.27,16275900
2004-11-24,64.05,24835500
2004-11-29,68.44,30587800
2004-11-30,67.05,18366400
2004-12-16,66.596,20109200
2005-01-07,69.25,39775900
2005-01-10,68.96,30809100
2005-01-31,76.9,30019600
2005-02-14,84.63,22704700
2005-02-15,88.41,41289600
2005-02-16,90.13,29272200
2005-03-17,42.25,28640000
2005-03-18,42.96,33576800
2005-04-08,43.74,23212500
2005-05-19,37.55,28327200
2005-05-23,39.76,37234800
2005-06-17,38.31,21290200
2005-06-23,38.89,24080500
2005-07-14,40.75,74859300
2005-07-15,41.55,24560100
2005-07-19,43.19,23966500
2005-08-12,46.1,32715600
2005-08-15,47.68,38811700
2005-08-16,46.25,19200800
2005-09-06,48.8,29236400
2005-09-07,48.68,34395500
2005-09-08,49.78,25094300
2005-09-09,51.31,21987200
2005-09-19,52.64,27990400
2005-09-20,53.19,29279600
2005-09-26,53.84,19520100
2005-10-14,54.0,36984000
2005-10-19,54.94,36024400
2005-10-20,56.14,48491500
2005-10-31,57.59,33601600
2005-11-16,64.95,28018400
2005-11-17,64.52,24150200
2005-11-28,69.66,36375700
2005-12-01,71.6001,29031900
2005-12-02,72.63,31991500
2005-12-06,74.05,30608200
2005-12-07,73.95,24266600
2006-01-06,76.3,25159200
2006-01-09,76.05,24108600
2006-01-10,80.86,81423900
2006-01-11,83.9,53349800
2006-01-12,84.291,45743200
2006-01-13,85.5899,27725200
2006-04-05,67.21,79764600
2006-04-06,71.24,95134600
2006-04-07,69.79,55187100
2006-07-20,60.5,70433800
2006-07-21,60.72,31853300
2006-07-26,63.87,32086700
2006-07-31,67.96,31887200
2006-09-05,71.48,36159200
2006-09-06,70.03,34789400
2006-09-07,72.8,45284200
2006-09-08,72.52,31997200
2006-09-13,74.2,40933500
2006-09-26,77.61,39391000
2006-10-19,78.99,54034900
2006-10-23,81.46,29732400
2006-11-08,82.45,24675600
2006-11-09,83.34,32966200
2006-11-16,85.61,24783600
2006-11-20,86.47,20385500
2006-11-21,88.6,22238100
2006-11-22,90.31,23997900
2007-01-09,92.57,119617800
2007-01-10,97.0,105460000
2007-01-11,95.8,51437600
2007-02-21,89.2,41261200
2007-02-22,89.51,29936600
2007-03-12,89.87,26050300
2007-03-14,90.0,28449500
2007-03-26,95.85,30892400
2007-03-27,95.46,33287600
2007-04-23,93.51,27867500
2007-04-24,93.24,37687600
2007-04-25,95.348,42398000
2007-04-26,98.84,62063500
2007-04-27,99.92,24978700
2007-05-07,103.92,30769900
2007-05-08,105.06,27999900
2007-05-10,107.34,42759200
2007-05-23,112.89,32549100
2007-05-30,118.77,52801600
2007-05-31,121.191,46323800
2007-06-05,122.67,32885200
2007-06-06,123.64,39722900
2007-06-07,124.069,68395700
2007-06-08,124.49,44345800
2007-07-03,127.17,41517200
2007-07-05,132.75,51894700
2007-07-20,143.75,41706200
2007-07-23,143.7,37017500
2007-07-26,146.0,78093900
2007-08-30,136.25,51270800
2007-09-04,144.16,47030100
2007-09-21,144.15,40674300
2007-09-25,153.18,42591100
2007-10-05,161.4499,33695400
2007-10-09,167.86,39438800
2007-10-17,172.75,40271900
2007-10-22,174.36,58910700
2007-10-23,186.16,64113000
2007-10-24,185.93,46017200
2007-11-26,172.5419,46634100
2007-11-27,174.81,47036800
2008-02-28,129.91,57794800
2008-03-13,127.94,45075100
2008-04-07,155.89,41368800
2008-04-18,161.04,36670200
2008-04-21,168.16,37112600
2008-04-24,168.94,60573800
2008-04-30,173.95,40697300
2008-08-11,173.56,31832300
2008-08-12,176.73,29867100
2008-08-13,179.3,30083800
2008-10-14,104.08,70749800
2008-10-29,104.55,69677800
2008-12-03,95.9,47810000
2009-01-05,94.58,42200300
2009-01-06,93.02,46046800
2009-03-12,96.35,27444900
2009-03-17,99.66,28094500
2009-03-18,101.52,28429900
2009-04-02,112.71,29013100
2009-04-16,121.45,21194500
2009-04-23,125.4,33755600
2009-05-04,132.07,21762800
2009-05-26,130.78,22747400
2009-05-27,133.05,23086500
2009-05-28,135.07,17412600
2009-06-03,140.95,20185700
2009-06-04,143.74,19665500
2009-06-05,144.67,22597000
2009-07-17,151.75,21505500
2009-07-20,152.909,26268800
2009-07-22,156.74,31218000
2009-07-23,157.82,18820100
2009-08-21,169.22,14859800
2009-08-24,169.06,14533200
2009-09-09,171.14,28967400
