Date,1. open,2. high,3. low,4. close,5. volume
2025-05-30,0.8999,0.8999,0.88,0.88,9916.0
2025-05-29,0.88,0.902,0.88,0.9,7337.0
2025-05-28,0.91,0.9154,0.868,0.8844,12552.0
2025-05-27,0.8701,0.91,0.8701,0.9099,27499.0
2025-05-23,0.8619,0.914,0.861,0.914,10538.0
2025-05-22,0.9199,0.9199,0.86,0.9199,9446.0
2025-05-21,0.9199,0.92,0.9,0.9199,9367.0
2025-05-20,0.881,0.92,0.868,0.9199,4618.0
2025-05-19,0.87,0.92,0.87,0.9146,23334.0
2025-05-16,0.941,0.9799,0.8651,0.9199,48895.0
2025-05-15,0.94,0.9425,0.87,0.94,5643.0
2025-05-14,0.97,0.97,0.9215,0.94,18656.0
2025-05-13,0.95,0.98,0.925,0.9799,18173.0
2025-05-12,0.94,0.9898,0.87,0.9897,28947.0
2025-05-09,0.98,0.9899,0.8897,0.965,18495.0
2025-05-08,0.9001,0.9799,0.9001,0.9799,8299.0
2025-05-07,0.94,0.959,0.9001,0.9001,13025.0
2025-05-06,0.9702,0.9898,0.92,0.94,10328.0
2025-05-05,0.96,0.9899,0.96,0.9899,22973.0
2025-05-02,0.95,0.99,0.93,0.9899,39445.0
2025-05-01,0.93,0.95,0.905,0.9499,21197.0
2025-04-30,0.93,0.95,0.9,0.92,17093.0
2025-04-29,0.93,0.94,0.9,0.9399,8346.0
2025-04-28,0.905,0.95,0.88,0.9487,12875.0
2025-04-25,0.9131,0.96,0.87,0.905,22291.0
2025-04-24,0.9006,0.96,0.9,0.96,5458.0
2025-04-23,0.9213,0.958,0.89,0.92,10430.0
2025-04-22,0.9138,0.96,0.9001,0.9538,7803.0
2025-04-21,0.94,0.946,0.8832,0.9399,8503.0
2025-04-17,0.9174,0.9579,0.8926,0.9499,12126.0
2025-04-16,0.95,0.96,0.88,0.9555,39362.0
2025-04-15,0.937,0.9779,0.85,0.94,29405.0
2025-04-14,0.9677,0.997,0.885,0.9499,72002.0
2025-04-11,0.91,0.99,0.9099,0.9599,41647.0
2025-04-10,0.8788,0.91,0.87,0.91,5404.0
2025-04-09,0.93,0.93,0.8,0.84,10069.0
2025-04-08,0.94,0.9799,0.92,0.93,6493.0
2025-04-07,0.88,0.94,0.8703,0.9185,24720.0
2025-04-04,0.831,0.9911,0.82,0.8801,21376.0
2025-04-03,0.87,0.9195,0.83,0.8655,24551.0
2025-04-02,0.9655,1.03,0.9,0.9699,8081.0
2025-04-01,1.01,1.01,0.9407,0.9787,20854.0
2025-03-31,0.998,0.9988,0.9653,0.9988,3300.0
2025-03-28,1.0,1.0,0.9301,0.9999,8556.0
2025-03-27,1.02,1.02,0.9603,0.99,15925.0
2025-03-26,1.01,1.0299,0.966,0.99,15709.0
2025-03-25,1.01,1.02,0.99,1.01,37367.0
2025-03-24,0.9901,1.01,0.9388,0.99,50120.0
2025-03-21,0.9088,0.98,0.9088,0.9799,41453.0
2025-03-20,0.92,0.98,0.91,0.9188,11358.0
2025-03-19,0.915,0.915,0.84,0.9,10291.0
2025-03-18,0.882,0.882,0.8626,0.882,5713.0
2025-03-17,0.8529,0.9159,0.8201,0.85,13735.0
2025-03-14,0.8801,0.9749,0.81,0.9199,23168.0
2025-03-13,0.9704,0.975,0.8849,0.9463,17493.0
2025-03-12,0.99,0.99,0.9209,0.9899,19966.0
2025-03-11,1.02,1.02,0.9488,0.9499,25338.0
2025-03-10,1.06,1.06,0.97,1.01,64538.0
2025-03-07,1.03,1.0899,0.9317,1.0593,189310.0
2025-03-06,0.974,1.03,0.9001,1.03,236306.0
2025-03-05,0.7788,0.85,0.751,0.8244,20938.0
2025-03-04,0.8,0.833,0.713,0.83,327248.0
2025-03-03,0.84,0.88,0.75,0.75,23184.0
2025-02-28,0.86,0.86,0.82,0.8295,10885.0
2025-02-27,0.85,0.884,0.85,0.85,19360.0
2025-02-26,0.97,0.9899,0.87,0.8921,66572.0
