Date,1. open,2. high,3. low,4. close,5. volume
2025-05-30,1.66,1.69,1.66,1.69,2166.0
2025-05-29,1.67,1.67,1.6415,1.66,2334.0
2025-05-28,1.66,1.7,1.654,1.67,3177.0
2025-05-27,1.6625,1.7,1.6625,1.7,7139.0
2025-05-23,1.725,1.74,1.67,1.72,7109.0
2025-05-22,1.76,1.76,1.7,1.7,3364.0
2025-05-21,1.7441,1.76,1.71,1.71,2138.0
2025-05-20,1.69,1.76,1.66,1.71,9358.0
2025-05-19,1.74,1.74,1.71,1.72,1385.0
2025-05-16,1.78,1.78,1.72,1.72,5235.0
2025-05-15,1.66,1.78,1.66,1.78,7969.0
2025-05-14,1.75,1.75,1.66,1.7,12199.0
2025-05-13,1.72,1.92,1.6017,1.7401,25890.0
2025-05-12,1.85,1.85,1.72,1.72,14324.0
2025-05-09,1.85,1.8641,1.78,1.81,9333.0
2025-05-08,1.73,1.85,1.6501,1.8,25327.0
2025-05-07,1.6,1.77,1.565,1.69,68244.0
2025-05-06,1.58,1.68,1.5205,1.63,6884.0
2025-05-05,1.5715,1.5715,1.5715,1.5715,851.0
2025-05-02,1.5216,1.59,1.48,1.561,4950.0
2025-05-01,1.435,1.6,1.435,1.53,34807.0
2025-04-30,1.53,1.54,1.5,1.5,1273.0
2025-04-29,1.5,1.55,1.4201,1.55,10569.0
2025-04-28,1.43,1.54,1.43,1.51,2612.0
2025-04-25,1.5,1.5199,1.5,1.5199,5875.0
2025-04-24,1.54,1.5599,1.4134,1.53,8350.0
2025-04-23,1.3776,1.56,1.3776,1.54,5768.0
2025-04-22,1.43,1.5234,1.43,1.5234,2433.0
2025-04-21,1.43,1.43,1.33,1.33,1756.0
2025-04-17,1.3292,1.41,1.31,1.388,4180.0
2025-04-16,1.42,1.43,1.3001,1.3878,2971.0
2025-04-15,1.5195,1.5195,1.3596,1.42,41983.0
2025-04-14,1.3,1.425,1.26,1.3774,155004.0
2025-04-11,1.32,1.33,1.2946,1.32,9534.0
2025-04-10,1.365,1.39,1.31,1.35,9675.0
2025-04-09,1.41,1.41,1.345,1.3501,3905.0
2025-04-08,1.5,1.56,1.31,1.31,11521.0
2025-04-07,1.48,1.58,1.48,1.58,2866.0
2025-04-04,1.5,1.63,1.48,1.48,4859.0
2025-04-03,1.58,1.72,1.48,1.59,24654.0
2025-04-02,1.59,1.82,1.48,1.58,38572.0
2025-04-01,1.65,1.84,1.56,1.56,12701.0
2025-03-31,1.6488,1.78,1.6187,1.7,21177.0
2025-03-28,1.745,1.745,1.72,1.72,1017.0
2025-03-27,1.74,1.79,1.74,1.75,8221.0
2025-03-26,1.73,1.85,1.6974,1.73,20282.0
2025-03-25,1.3,1.78,1.2477,1.78,44891.0
2025-03-24,1.37,1.37,1.37,1.37,421.0
2025-03-21,1.42,1.45,1.31,1.37,17375.0
2025-03-20,1.35,1.55,1.3201,1.44,16732.0
2025-03-19,1.4,1.42,1.4,1.4,7896.0
2025-03-18,1.43,1.43,1.42,1.42,4666.0
2025-03-17,1.4,1.52,1.4,1.46,8957.0
2025-03-14,1.44,1.44,1.415,1.43,2517.0
2025-03-13,1.45,1.45,1.4,1.4,1922.0
2025-03-12,1.45,1.4563,1.4,1.45,4524.0
2025-03-11,1.535,1.535,1.42,1.45,3660.0
2025-03-10,1.35,1.6,1.35,1.56,3596.0
2025-03-07,1.43,1.46,1.41,1.41,5233.0
2025-03-06,1.4,1.5135,1.4,1.48,1455.0
2025-03-05,1.478,1.48,1.478,1.48,925.0
2025-03-04,1.45,1.4799,1.45,1.45,7004.0
2025-03-03,1.4,1.5,1.4,1.48,2439.0
2025-02-28,1.54,1.54,1.54,1.54,827.0
2025-02-27,1.57,1.5701,1.52,1.52,2267.0
2025-02-26,1.57,1.64,1.57,1.6,3037.0
2025-02-25,1.58,1.635,1.57,1.59,4456.0
2025-02-24,1.57,1.57,1.57,1.57,468.0
2025-02-21,1.57,1.64,1.57,1.57,1311.0
2025-02-20,1.6591,1.6591,1.58,1.58,1506.0
2025-02-19,1.57,1.614,1.57,1.605,3894.0
2025-02-18,1.6025,1.64,1.6,1.6,1558.0
2025-02-14,1.615,1.615,1.597,1.6,638.0
2025-02-13,1.69,1.7,1.6496,1.6496,872.0
2025-02-12,1.61,1.61,1.57,1.59,1574.0
2025-02-11,1.6586,1.6586,1.61,1.61,4950.0
2025-02-10,1.72,1.72,1.5776,1.6058,18146.0
2025-02-07,1.71,1.71,1.6108,1.682,3374.0
2025-02-06,1.66,1.71,1.6004,1.7095,4473.0
2025-02-05,1.67,1.67,1.622,1.67,2815.0
2025-02-04,1.7073,1.718,1.64,1.7,9121.0
2025-02-03,1.66,1.71,1.602,1.63,3841.0
2025-01-31,1.7126,1.7699,1.6,1.69,2318.0
2025-01-30,1.7495,1.75,1.61,1.72,3578.0
2025-01-29,1.69,1.725,1.52,1.7001,4691.0
2025-01-28,1.595,1.7,1.54,1.7,9296.0
2025-01-27,1.44,1.65,1.44,1.65,33465.0
2025-01-24,1.515,1.515,1.515,1.515,547.0
2025-01-23,1.48,1.515,1.48,1.515,1560.0
2025-01-22,1.505,1.5467,1.485,1.51,8993.0
2025-01-21,1.48,1.505,1.48,1.505,1841.0
2025-01-17,1.55,1.55,1.476,1.476,1217.0
2025-01-16,1.5,1.55,1.5,1.5023,2824.0
2025-01-15,1.48,1.54,1.48,1.52,6504.0
2025-01-14,1.4812,1.54,1.48,1.54,2071.0
2025-01-13,1.42,1.53,1.42,1.53,5935.0
2025-01-10,1.5076,1.51,1.485,1.485,4026.0
2025-01-08,1.47,1.53,1.4651,1.52,1621.0
2025-01-07,1.5404,1.5404,1.4444,1.5,11601.0
2025-01-06,1.48,1.55,1.46,1.46,16843.0
2025-01-03,1.5,1.5,1.46,1.5,3157.0
2025-01-02,1.54,1.54,1.47,1.485,1323.0
2024-12-31,1.4506,1.55,1.4506,1.54,4642.0
2024-12-30,1.485,1.55,1.47,1.55,11713.0
2024-12-27,1.4843,1.4843,1.4843,1.4843,276.0
2024-12-26,1.46,1.5323,1.46,1.4967,1492.0
2024-12-24,1.485,1.5,1.4701,1.485,1410.0
2024-12-23,1.471,1.51,1.471,1.51,2107.0
2024-12-20,1.51,1.55,1.46,1.48,6522.0
2024-12-19,1.5046,1.5201,1.5,1.51,2165.0
2024-12-18,1.53,1.53,1.45,1.45,4801.0
2024-12-17,1.46,1.55,1.45,1.55,9089.0
2024-12-16,1.55,1.55,1.5,1.5,616.0
2024-12-13,1.5,1.5,1.5,1.5,1429.0
2024-12-12,1.55,1.55,1.49,1.53,4410.0
2024-12-11,1.505,1.53,1.48,1.48,1918.0
2024-12-10,1.55,1.55,1.49,1.55,4760.0
2024-12-09,1.5175,1.54,1.486,1.53,2220.0
2024-12-06,1.5198,1.55,1.465,1.547,4261.0
2024-12-05,1.51,1.51,1.45,1.46,7614.0
2024-12-04,1.5,1.5,1.5,1.5,581.0
2024-12-03,1.48,1.52,1.48,1.48,1988.0
2024-12-02,1.56,1.56,1.5,1.52,5944.0
2024-11-29,1.54,1.55,1.52,1.52,1896.0
2024-11-27,1.59,1.6222,1.495,1.56,7699.0
2024-11-26,1.53,1.6,1.4611,1.53,10335.0
2024-11-25,1.68,1.76,1.26,1.58,43293.0
2024-11-22,1.6399,1.6399,1.6399,1.6399,1589.0
2024-11-21,1.57,1.63,1.53,1.63,2652.0
2024-11-20,1.5799,1.65,1.54,1.59,5646.0
2024-11-19,1.62,1.66,1.55,1.6,6316.0
2024-11-18,1.6,1.71,1.6,1.7,2865.0
2024-11-15,1.675,1.705,1.67,1.67,4820.0
