Date,1. open,2. high,3. low,4. close,5. volume
2025-05-30,95.99,96.86,94.98,96.29,525123.0
2025-05-29,98.34,98.34,95.66,96.15,546592.0
2025-05-28,100.15,100.54,96.84,97.13,479244.0
2025-05-27,101.34,101.482,99.34,100.19,529393.0
2025-05-23,97.07,99.87,96.95,99.1,291987.0
2025-05-22,100.22,100.91,98.62,99.94,490850.0
2025-05-21,103.05,104.09,100.18,100.51,526385.0
2025-05-20,105.5,106.11,103.76,104.53,381506.0
2025-05-19,104.27,106.81,103.34,106.355,395362.0
2025-05-16,104.52,107.02,103.78,106.87,443987.0
2025-05-15,103.82,104.87,102.825,104.11,333719.0
2025-05-14,105.75,106.11,104.63,104.89,355332.0
2025-05-13,104.72,106.88,104.115,105.95,503147.0
2025-05-12,105.43,107.0,102.88,104.63,682217.0
2025-05-09,99.77,100.8,98.42,100.23,580830.0
2025-05-08,96.83,101.17,96.575,99.43,1031636.0
2025-05-07,97.04,98.285,94.505,95.71,1130305.0
2025-05-06,97.5,99.29,96.93,97.44,713593.0
2025-05-05,98.55,100.245,97.59,98.92,667529.0
2025-05-02,96.75,100.13,96.05,99.37,1246246.0
2025-05-01,100.0,100.0,94.12,96.46,1581729.0
2025-04-30,87.05,91.73,87.008,91.27,854357.0
2025-04-29,88.77,89.59,86.76,89.11,469729.0
2025-04-28,87.91,89.75,86.455,88.79,661838.0
2025-04-25,85.84,88.73,85.5,87.94,843015.0
2025-04-24,82.11,86.2,82.11,85.84,635973.0
2025-04-23,82.89,85.64,81.41,82.06,926541.0
2025-04-22,79.53,80.41,78.175,79.9,1084364.0
2025-04-21,81.73,81.73,77.126,77.92,565106.0
2025-04-17,80.78,84.55,80.78,82.46,510680.0
2025-04-16,81.24,81.85,78.76,80.44,421684.0
2025-04-15,84.24,85.25,81.7,82.09,838131.0
2025-04-14,85.27,85.55,81.855,84.01,832593.0
2025-04-11,80.47,84.25,78.185,84.16,882356.0
2025-04-10,79.76,81.41,76.43,80.42,953761.0
2025-04-09,73.01,82.841,72.6,82.22,1022593.0
2025-04-08,77.97,79.49,72.17,73.0,962923.0
2025-04-07,71.21,78.58,68.98,74.53,905016.0
2025-04-04,74.7,76.17,71.13,74.2,1030076.0
2025-04-03,77.14,79.47,76.73,77.48,983655.0
2025-04-02,77.64,82.86,77.08,82.72,583934.0
2025-04-01,77.9,79.4125,76.24,79.16,722424.0
2025-03-31,76.38,78.83,74.0,78.13,692001.0
2025-03-28,80.4,80.4,77.435,78.08,538244.0
2025-03-27,81.1,81.94,79.72,80.24,484867.0
2025-03-26,83.58,84.55,81.05,81.45,747364.0
2025-03-25,83.35,85.12,82.46,84.1,702366.0
2025-03-24,80.97,83.7,80.97,83.58,613250.0
2025-03-21,78.19,80.755,77.2868,79.65,1559458.0
2025-03-20,80.39,82.41,79.34,79.42,629498.0
2025-03-19,79.87,83.135,79.355,81.48,1036950.0
2025-03-18,81.74,82.53,79.63,79.8,892763.0
2025-03-17,81.48,84.27,81.0,82.76,772459.0
2025-03-14,79.39,82.33,78.98,82.14,590390.0
2025-03-13,80.95,80.995,77.22,78.31,722420.0
2025-03-12,84.44,85.47,81.48,81.55,1292344.0
2025-03-11,79.66,83.5,79.0,82.39,1824368.0
2025-03-10,81.36,81.91,78.39,79.79,1358573.0
2025-03-07,81.25,82.8,79.37,82.07,1591930.0
2025-03-06,80.3,81.925,78.185,81.25,1742211.0
2025-03-05,77.06,82.99,76.94,81.94,2574336.0
2025-03-04,71.0,77.22,69.52,75.25,1948666.0
2025-03-03,77.26,78.89,72.581,73.515,1670137.0
2025-02-28,78.64,79.265,73.11,76.8,2492290.0
2025-02-27,88.08,90.19,78.55,78.64,2485168.0
2025-02-26,102.17,104.81,101.285,102.02,781775.0
2025-02-25,99.61,101.9,98.15,100.29,755696.0
2025-02-24,105.16,106.99,99.84,100.07,1099664.0
2025-02-21,111.2,111.3,102.91,103.63,930754.0
2025-02-20,113.15,114.58,108.5,110.59,629464.0
2025-02-19,114.63,114.925,112.83,114.11,540557.0
2025-02-18,113.8,115.5,113.475,114.76,466285.0
2025-02-14,112.86,114.7065,112.24,113.16,269144.0
2025-02-13,110.83,113.05,109.52,112.86,587911.0
2025-02-12,111.24,111.95,109.44,109.59,470622.0
2025-02-11,112.6,113.495,111.1628,112.76,475609.0
2025-02-10,113.52,114.98,112.5,113.27,542685.0
2025-02-07,115.13,115.13,112.39,112.77,708667.0
2025-02-06,115.94,117.73,112.13,114.05,826573.0
2025-02-05,112.72,116.13,111.09,114.9,893941.0
2025-02-04,114.68,115.97,110.2271,110.93,845865.0
2025-02-03,113.41,116.66,112.71,115.09,859207.0
2025-01-31,117.09,118.875,114.39,116.38,913226.0
2025-01-30,113.35,117.0,112.02,116.6,1011241.0
2025-01-29,112.03,112.69,108.62,110.4,874918.0
2025-01-28,113.56,114.96,108.8,111.77,1354286.0
2025-01-27,129.28,129.385,110.82,112.7,1792761.0
2025-01-24,134.33,136.35,131.73,132.71,528204.0
2025-01-23,136.26,136.62,133.69,134.76,608714.0
2025-01-22,132.52,137.9,131.46,136.95,622551.0
2025-01-21,132.08,134.39,131.02,132.15,459687.0
2025-01-17,132.39,132.92,128.38,130.18,1095486.0
2025-01-16,131.11,133.64,130.68,131.53,502163.0
2025-01-15,130.95,132.055,127.41,129.95,630161.0
2025-01-14,124.61,129.13,124.61,128.11,494123.0
2025-01-13,120.44,123.89,118.635,123.4,599230.0
2025-01-10,118.5,123.4299,118.0601,122.07,522892.0
2025-01-08,119.98,121.04,118.03,120.19,470584.0
2025-01-07,122.89,123.62,119.65,120.44,525285.0
2025-01-06,121.03,122.45,119.25,122.32,749998.0
2025-01-03,118.13,120.25,116.94,120.01,471497.0
2025-01-02,119.14,120.6153,116.43,117.94,344312.0
2024-12-31,120.0,120.84,117.235,117.68,409080.0
2024-12-30,119.93,120.605,117.13,119.65,365785.0
2024-12-27,122.0,122.6,119.85,121.42,240466.0
2024-12-26,123.18,123.69,122.43,122.68,340080.0
2024-12-24,123.22,124.12,122.0,123.44,246147.0
2024-12-23,123.67,124.72,122.74,123.21,335649.0
2024-12-20,124.32,127.49,123.73,124.13,1012648.0
2024-12-19,124.35,126.79,123.22,123.83,456298.0
2024-12-18,129.68,131.41,122.45,122.57,604971.0
2024-12-17,133.3,133.58,127.57,128.67,445470.0
2024-12-16,131.5,135.38,131.5,134.66,388615.0
2024-12-13,131.34,133.28,130.19,131.32,358082.0
2024-12-12,132.45,133.3875,130.92,131.27,134070.0
2024-12-11,130.4,132.85,128.78,132.36,390876.0
2024-12-10,130.05,130.795,126.9209,129.17,416080.0
2024-12-09,138.25,138.25,128.84,129.06,483942.0
2024-12-06,137.36,139.09,135.59,137.25,483105.0
2024-12-05,136.29,138.44,135.28,135.76,416062.0
2024-12-04,134.15,136.215,132.555,136.0,423990.0
2024-12-03,132.57,134.14,131.22,133.16,342550.0
2024-12-02,137.24,137.24,132.055,132.29,336232.0
