Date,1. open,2. high,3. low,4. close,5. volume
2025-05-30,25.71,25.71,23.06,24.4,16331.0
2025-05-29,25.02,25.87,24.82,25.35,3487.0
2025-05-28,25.0,25.13,24.23,24.4257,8779.0
2025-05-27,25.88,26.055,25.28,25.815,17374.0
2025-05-23,25.69,26.55,25.42,26.48,20429.0
2025-05-22,24.5,25.58,24.5,25.56,11953.0
2025-05-21,24.5,25.17,24.46,25.12,20013.0
2025-05-20,23.23,23.23,23.0,23.0,3331.0
2025-05-19,22.885,23.85,22.885,23.78,2167.0
2025-05-16,22.6,23.3,22.6,22.65,4835.0
2025-05-15,22.63,23.2462,22.555,22.555,8364.0
2025-05-14,23.8,23.9941,23.3,23.4,16596.0
2025-05-13,24.43,24.43,23.4929,24.04,24369.0
2025-05-12,23.88,24.69,23.005,24.2,11360.0
2025-05-09,24.19,24.5,24.19,24.31,9839.0
2025-05-08,24.2002,25.16,24.2002,25.16,2663.0
2025-05-07,24.7569,24.7569,23.6707,24.1676,33548.0
2025-05-06,25.5,26.0,24.6301,25.8,37538.0
2025-05-05,25.5,25.5,25.18,25.3,13192.0
2025-05-02,25.49,26.0,25.0,25.48,15921.0
2025-05-01,24.89,25.225,24.43,25.15,6332.0
2025-04-30,24.515,25.25,24.43,24.43,20917.0
2025-04-29,24.8,24.88,24.0932,24.2,7560.0
2025-04-28,25.65,25.65,25.025,25.29,5810.0
2025-04-25,26.06,26.5,24.93,26.295,41147.0
2025-04-24,25.5,26.13,24.932,25.5,63807.0
2025-04-23,22.7,24.04,22.7,23.9,54300.0
2025-04-22,21.97,22.0,21.04,21.6,120097.0
2025-04-21,19.14,19.93,18.87,19.12,10980.0
2025-04-17,18.55,19.08,18.52,18.72,3120.0
2025-04-16,18.87,18.87,18.87,18.87,624.0
2025-04-15,20.0556,20.35,19.3,19.45,91543.0
2025-04-14,19.33,20.88,19.32,20.49,16938.0
2025-04-11,18.4,18.9911,17.805,18.7,96571.0
2025-04-10,18.11,18.4989,17.585,17.7,14931.0
2025-04-09,18.2501,19.44,17.555,19.0,30943.0
2025-04-08,19.8,20.33,18.02,19.46,189532.0
2025-04-07,18.41,21.2,18.11,20.4,90376.0
2025-04-04,22.21,22.21,19.63,20.95,81412.0
2025-04-03,22.62,24.0204,22.5,23.07,71568.0
2025-04-02,23.1,23.5238,22.7,23.0,50870.0
2025-04-01,22.65,23.37,22.52,23.04,70308.0
2025-03-31,20.75,21.95,20.75,21.95,21075.0
2025-03-28,21.2,22.434,21.1134,21.65,38940.0
2025-03-27,19.96,20.89,19.602,20.2,53184.0
2025-03-26,18.51,18.59,18.18,18.37,25958.0
2025-03-25,18.96,18.96,18.31,18.46,15886.0
2025-03-24,18.79,18.97,18.51,18.97,48221.0
2025-03-21,19.01,19.01,18.6,18.7,19874.0
2025-03-20,19.4,19.42,19.06,19.4,8302.0
2025-03-19,19.3,19.64,19.3,19.4,26854.0
2025-03-18,19.2,19.69,19.2,19.69,4430.0
2025-03-17,18.86,19.86,18.8,19.68,12871.0
2025-03-14,19.14,19.3823,18.802,19.0,24359.0
2025-03-13,18.88,19.21,18.63,18.63,8119.0
2025-03-12,18.7482,19.06,18.47,18.7,8496.0
2025-03-11,18.69,19.0,18.42,19.0,55840.0
2025-03-10,19.57,19.57,18.49,18.6,27074.0
2025-03-07,19.53,19.93,19.5,19.93,17664.0
2025-03-06,19.75,19.75,19.01,19.44,18515.0
2025-03-05,19.68,19.788,19.13,19.47,26513.0
2025-03-04,18.4001,19.39,18.3,19.38,35616.0
2025-03-03,19.505,19.5775,18.5001,18.67,22186.0
2025-02-28,18.45,19.11,18.45,19.03,43921.0
2025-02-27,20.24,20.355,19.75,19.8,22572.0
2025-02-26,20.78,20.9,20.22,20.67,57932.0
2025-02-25,19.85,20.64,19.62,20.16,88436.0
2025-02-24,21.09,21.09,19.26,19.61,138446.0
2025-02-21,20.8,21.4,20.49,21.17,167505.0
2025-02-20,19.39,19.88,19.37,19.67,50353.0
2025-02-19,18.75,19.37,18.62,19.37,69292.0
2025-02-18,18.55,18.795,18.35,18.51,86150.0
2025-02-14,18.54,18.93,17.9,18.24,213523.0
2025-02-13,17.51,17.51,17.09,17.26,34905.0
2025-02-12,18.01,18.01,17.58,17.85,54411.0
2025-02-11,18.7,18.7,18.16,18.23,21884.0
2025-02-10,18.7,18.99,18.5116,18.9,109308.0
2025-02-07,19.37,19.37,18.48,18.67,320316.0
2025-02-06,18.82,18.93,18.5201,18.8,252917.0
2025-02-05,18.92,18.92,17.85,18.05,66096.0
2025-02-04,18.61,18.95,18.4,18.88,387618.0
2025-02-03,17.8,18.2,17.8,18.2,324163.0
2025-01-31,17.9716,17.9716,17.43,17.68,63349.0
2025-01-30,17.45,17.86,17.2799,17.6,228961.0
2025-01-29,17.39,17.45,17.19,17.33,120981.0
2025-01-28,17.37,17.38,17.025,17.2,39824.0
2025-01-27,17.39,17.5,17.0,17.25,315841.0
2025-01-24,17.25,18.0,16.5,17.38,2217300.0
