Date,1. open,2. high,3. low,4. close,5. volume
2025-05-30,10.6,10.6699,10.38,10.44,18454.0
2025-05-29,10.2262,10.7223,10.2262,10.3,12504.0
2025-05-28,10.0,10.41,9.99,10.21,13881.0
2025-05-27,10.48,10.93,9.76,9.82,32577.0
2025-05-23,10.27,10.81,9.67,10.5,22053.0
2025-05-22,11.38,11.38,9.9001,10.01,26626.0
2025-05-21,11.14,11.5,10.4043,11.12,23747.0
2025-05-20,10.42,11.0,10.42,11.0,19990.0
2025-05-19,10.02,10.5,9.695,10.43,44445.0
2025-05-16,9.19,10.01,8.75,9.89,19150.0
2025-05-15,10.55,10.55,8.74,9.09,43653.0
2025-05-14,10.21,10.26,8.5,8.74,146968.0
2025-05-13,11.055,11.377,10.0,10.14,52328.0
2025-05-12,10.4,11.03,10.15,10.97,19641.0
2025-05-09,10.64,12.89,10.0,10.42,215243.0
2025-05-08,10.8,11.24,10.475,10.73,17195.0
2025-05-07,10.34,10.765,10.31,10.63,15055.0
2025-05-06,10.66,11.68,10.3953,10.43,35446.0
2025-05-05,13.25,13.25,10.42,10.54,60775.0
2025-05-02,11.45,13.5601,11.0983,12.86,161986.0
2025-05-01,11.02,11.57,10.46,11.33,171761.0
2025-04-30,10.4,11.3962,9.36,11.11,68659.0
2025-04-29,10.91,11.44,10.33,11.43,78268.0
2025-04-28,8.01,10.29,8.01,10.12,52248.0
2025-04-25,7.98,8.12,7.2732,7.93,44223.0
2025-04-24,8.55,8.55,7.36,8.22,51484.0
2025-04-23,7.88,8.54,7.77,8.52,93383.0
2025-04-22,6.93,7.88,6.93,7.66,82143.0
2025-04-21,6.86,7.34,6.75,7.12,25885.0
2025-04-17,7.35,7.38,6.8944,7.0,84665.0
2025-04-16,7.68,7.835,7.39,7.57,41558.0
2025-04-15,7.75,7.99,7.75,7.95,30084.0
2025-04-14,7.12,7.68,7.0159,7.62,44880.0
2025-04-11,7.14,7.355,6.985,7.14,30366.0
2025-04-10,7.82,7.82,6.51,7.02,65783.0
2025-04-09,7.2,7.99,4.88,7.79,531017.0
2025-04-08,8.07,8.3012,7.01,7.29,145490.0
2025-04-07,8.2704,8.2704,7.225,7.94,48158.0
2025-04-04,8.23,8.84,7.6,8.16,208458.0
2025-04-03,9.15,9.19,8.34,8.69,149250.0
2025-04-02,8.39,9.42,8.01,9.35,99686.0
2025-04-01,7.5,9.7,7.5,8.29,234671.0
2025-03-31,7.46,7.9,6.79,7.51,350277.0
2025-03-28,8.71,9.1604,7.74,7.74,142637.0
2025-03-27,10.28,10.38,8.575,8.9,146347.0
2025-03-26,8.9,9.552,8.7,9.42,46779.0
2025-03-25,9.32,9.465,8.69,9.09,52293.0
2025-03-24,9.91,10.0,9.14,9.24,125280.0
2025-03-21,9.3,10.1,9.3,9.91,263434.0
2025-03-20,9.48,9.68,8.6,9.18,52138.0
2025-03-19,9.12,9.98,9.12,9.59,37377.0
2025-03-18,9.77,10.1,8.66,9.42,134327.0
2025-03-17,9.8,10.51,9.25,9.26,76236.0
2025-03-14,10.37,10.95,9.4,10.01,109694.0
2025-03-13,10.14,10.65,10.0,10.48,48420.0
2025-03-12,10.7,11.1,9.84,10.14,172550.0
2025-03-11,10.37,11.775,9.95,10.42,127813.0
2025-03-10,10.9,11.507,10.03,10.26,121998.0
2025-03-07,9.43,10.515,9.43,10.13,210327.0
2025-03-06,11.14,11.46,9.21,9.52,178012.0
2025-03-05,11.99,12.14,10.9,11.38,38045.0
2025-03-04,12.72,12.72,11.34,12.0,70287.0
2025-03-03,12.94,13.5995,12.0,12.73,145306.0
2025-02-28,13.2,13.94,12.32,12.73,78372.0
2025-02-27,12.86,13.73,12.55,13.4,117207.0
2025-02-26,13.71,15.08,12.7,13.11,142915.0
2025-02-25,13.85,15.8,13.41,13.65,92356.0
2025-02-24,14.22,15.5999,12.2139,13.03,131468.0
2025-02-21,17.77,17.77,13.74,13.74,241478.0
2025-02-20,15.89,19.58,15.63,17.25,452389.0
2025-02-19,13.54,16.48,13.425,14.9,166611.0
2025-02-18,13.39,14.4,12.58,13.56,179342.0
2025-02-14,14.34,14.43,12.905,13.3,182666.0
2025-02-13,15.18,15.18,11.55,14.31,1710958.0
