Date,1. open,2. high,3. low,4. close,5. volume
2025-05-30,1.32,1.35,1.29,1.31,749970.0
2025-05-29,1.39,1.39,1.33,1.34,636483.0
2025-05-28,1.35,1.4,1.349,1.36,704318.0
2025-05-27,1.36,1.42,1.335,1.38,1723799.0
2025-05-23,1.29,1.36,1.255,1.32,823695.0
2025-05-22,1.3,1.33,1.25,1.29,1141813.0
2025-05-21,1.38,1.4199,1.31,1.32,954257.0
2025-05-20,1.44,1.445,1.3705,1.39,995458.0
2025-05-19,1.46,1.51,1.37,1.39,1738321.0
2025-05-16,1.52,1.58,1.28,1.55,3790712.0
2025-05-15,1.58,1.62,1.48,1.58,1716963.0
2025-05-14,1.38,1.6,1.34,1.58,2695563.0
2025-05-13,1.34,1.41,1.3,1.4,1223391.0
2025-05-12,1.41,1.49,1.32,1.34,1633181.0
2025-05-09,1.4,1.43,1.3578,1.4,856537.0
2025-05-08,1.35,1.46,1.32,1.41,1428158.0
2025-05-07,1.42,1.42,1.3,1.34,1254452.0
2025-05-06,1.47,1.4923,1.38,1.41,1260929.0
2025-05-05,1.49,1.7,1.46,1.5,2731440.0
2025-05-02,1.54,1.5682,1.4,1.5,2085855.0
2025-05-01,1.54,1.62,1.5,1.56,3513932.0
2025-04-30,1.56,1.7697,1.31,1.71,9717141.0
2025-04-29,1.19,1.54,1.11,1.53,7622227.0
2025-04-28,1.15,1.16,1.125,1.15,442939.0
2025-04-25,1.2,1.21,1.13,1.15,463294.0
2025-04-24,1.1,1.21,1.1,1.2,908477.0
2025-04-23,1.12,1.17,1.1,1.11,654725.0
2025-04-22,1.15,1.19,1.07,1.07,1153455.0
2025-04-21,1.19,1.2,1.06,1.13,992518.0
2025-04-17,1.1,1.17,1.045,1.17,1293725.0
2025-04-16,1.06,1.15,1.02,1.07,1010666.0
2025-04-15,1.07,1.0799,1.03,1.06,630019.0
2025-04-14,1.03,1.1,1.02,1.02,934994.0
2025-04-11,0.9807,1.01,0.98,0.9881,371286.0
2025-04-10,0.9814,0.9959,0.9508,0.9674,447281.0
2025-04-09,0.94,0.9995,0.92,0.9961,736807.0
