Date,1. open,2. high,3. low,4. close,5. volume
2025-05-30,25.4101,25.52,25.4101,25.46,6491.0
2025-05-29,25.42,25.53,25.4,25.488,3312.0
2025-05-28,25.62,25.62,25.38,25.42,13848.0
2025-05-27,25.52,25.5688,25.5,25.5688,2644.0
2025-05-23,25.52,25.656,25.51,25.51,2833.0
2025-05-22,25.54,25.645,25.49,25.62,5322.0
2025-05-21,25.5488,25.55,25.5,25.5,2011.0
2025-05-20,25.49,25.52,25.43,25.5,5083.0
2025-05-19,25.4612,25.5,25.4612,25.4861,1471.0
2025-05-16,25.4885,25.49,25.37,25.4401,4191.0
2025-05-15,25.48,25.51,25.18,25.47,11997.0
2025-05-14,25.46,25.46,25.26,25.26,7305.0
2025-05-13,25.19,25.47,25.19,25.28,9439.0
2025-05-12,25.85,26.1438,25.7,25.75,11075.0
2025-05-09,25.91,26.11,25.76,25.79,13660.0
2025-05-08,25.85,26.15,25.73,25.9,8678.0
2025-05-07,26.25,26.25,25.42,25.5,23386.0
2025-05-06,26.02,26.355,26.02,26.255,1605.0
2025-05-05,25.81,25.92,25.81,25.88,3175.0
2025-05-02,26.02,26.02,25.6201,25.7,18711.0
2025-05-01,25.91,25.91,25.585,25.82,6694.0
2025-04-30,25.83,26.02,25.73,25.83,5745.0
2025-04-29,25.64,25.67,25.61,25.61,4302.0
2025-04-28,25.5101,25.71,25.5101,25.69,10209.0
2025-04-25,25.54,25.66,25.535,25.66,2057.0
2025-04-24,25.49,25.63,25.13,25.6,19930.0
2025-04-23,25.7,25.88,25.47,25.6299,14492.0
2025-04-22,25.5101,25.855,25.51,25.61,2664.0
2025-04-21,25.53,25.61,25.16,25.289,6148.0
2025-04-17,25.45,25.7,25.44,25.53,6160.0
2025-04-16,25.4999,25.51,25.4,25.4,5058.0
2025-04-15,25.37,25.638,25.37,25.46,5331.0
2025-04-14,25.16,25.4004,25.16,25.35,3448.0
2025-04-11,25.1,25.16,25.1,25.16,3750.0
2025-04-10,25.22,25.26,24.93,25.02,91553.0
2025-04-09,24.9,25.3,24.88,25.16,17550.0
2025-04-08,25.2,25.25,25.0,25.1,11290.0
2025-04-07,25.14,25.2,24.9,25.0001,17751.0
2025-04-04,25.2,25.64,25.01,25.15,22025.0
2025-04-03,25.66,25.66,25.09,25.4,12539.0
2025-04-02,24.71,25.6475,24.71,25.45,153529.0
2025-04-01,24.52,24.75,24.35,24.63,130806.0
2025-03-31,25.25,25.25,24.43,24.43,485530.0
2025-03-28,25.03,25.37,24.62,25.09,71255.0
2025-03-27,25.4,25.7153,24.09,25.04,83857.0
2025-03-26,25.63,25.93,25.09,25.45,28079.0
2025-03-25,25.8,25.93,25.6,25.8,33732.0
2025-03-24,25.76,25.9199,25.71,25.88,5378.0
2025-03-21,25.88,25.95,25.45,25.6,20865.0
2025-03-20,26.28,26.28,25.41,25.67,28680.0
2025-03-19,26.03,26.2,26.03,26.15,2165.0
2025-03-18,26.21,26.3299,25.91,26.23,4674.0
2025-03-17,26.27,26.4,26.2,26.33,22340.0
2025-03-14,26.0,26.23,25.975,26.23,1783.0
2025-03-13,26.02,26.02,25.61,26.0,2731.0
2025-03-12,26.06,26.15,26.05,26.05,970.0
2025-03-11,26.05,26.05,26.05,26.05,1.0
2025-03-10,26.28,26.28,26.03,26.05,16466.0
2025-03-07,26.15,26.34,26.15,26.32,15769.0
2025-03-06,26.18,26.18,26.18,26.18,2639.0
2025-03-05,26.17,26.35,26.145,26.3,6784.0
2025-03-04,26.2,26.2,26.05,26.15,2091.0
2025-03-03,26.2,26.2,26.2,26.2,500.0
2025-02-28,26.2,26.32,26.1,26.32,25961.0
2025-02-27,26.3,26.335,26.12,26.12,8647.0
2025-02-26,26.51,26.6,26.07,26.33,8461.0
2025-02-25,26.43,26.55,26.43,26.55,2745.0
2025-02-24,26.55,26.55,26.335,26.55,2424.0
2025-02-21,26.6,26.6,26.4,26.55,2029.0
2025-02-20,26.7,26.7,25.98,26.55,5963.0
2025-02-19,26.6,26.9,26.6,26.75,2753.0
2025-02-18,26.18,26.6499,26.18,26.6499,1960.0
2025-02-14,26.695,26.695,26.695,26.695,179.0
2025-02-13,26.73,27.0,25.88,26.6,2457.0
2025-02-12,27.28,27.6,27.28,27.6,3117.0
2025-02-11,27.04,27.275,27.04,27.275,567.0
2025-02-10,27.225,27.23,27.22,27.22,786.0
2025-02-07,27.175,27.28,27.05,27.05,839.0
2025-02-06,27.05,27.05,27.02,27.02,1098.0
2025-02-05,27.16,27.16,27.16,27.16,740.0
2025-02-04,27.22,27.22,27.22,27.22,472.0
2025-02-03,27.26,27.26,27.21,27.21,866.0
2025-01-31,27.28,27.28,27.28,27.28,582.0
2025-01-30,27.255,27.255,27.255,27.255,1042.0
2025-01-29,27.1092,27.54,26.96,26.96,1701.0
2025-01-28,27.3887,27.3887,26.95,27.35,778.0
2025-01-27,27.58,27.58,27.2,27.53,847.0
2025-01-24,27.1,27.6,27.1,27.6,324.0
2025-01-23,26.91,27.68,26.91,27.68,1004.0
2025-01-22,26.82,27.75,26.7535,27.5,2620.0
2025-01-21,26.73,27.24,26.73,27.0,3923.0
2025-01-17,26.41,26.8,26.41,26.67,10234.0
2025-01-16,26.5,27.08,26.41,26.6401,16018.0
2025-01-15,26.325,27.0299,26.25,26.94,16338.0
2025-01-14,26.5,26.5,26.25,26.29,6106.0
2025-01-13,26.1,26.8968,26.1,26.745,19334.0
2025-01-10,29.02,31.05,25.41,25.63,31994.0
2025-01-08,34.99,34.99,29.31,29.88,39709.0
2025-01-07,30.0,38.5,30.0,34.01,15002.0
2025-01-06,30.0,30.84,28.8,29.25,44859.0
2025-01-03,29.5,31.5,28.83,31.5,71689.0
2025-01-02,32.9,32.9,29.76,30.4,66035.0
2024-12-31,32.5,36.79,29.04,33.66,442545.0
