Date,1. open,2. high,3. low,4. close,5. volume
2025-05-30,1.08,1.24,1.08,1.18,7648.0
2025-05-29,1.1128,1.16,1.1114,1.13,3434.0
2025-05-28,1.04,1.1,1.04,1.1,9765.0
2025-05-27,1.04,1.15,0.9741,1.14,27393.0
2025-05-23,1.095,1.15,1.03,1.12,1407.0
2025-05-22,1.09,1.158,1.06,1.095,6966.0
2025-05-21,1.14,1.15,1.09,1.11,12967.0
2025-05-20,1.1,1.17,1.1,1.15,6848.0
2025-05-19,1.21,1.27,1.09,1.09,18157.0
2025-05-16,1.208,1.24,1.18,1.22,7818.0
2025-05-15,1.22,1.22,1.14,1.21,2246.0
2025-05-14,1.2604,1.3,1.17,1.22,19278.0
2025-05-13,1.22,1.31,1.2,1.26,10448.0
2025-05-12,1.34,1.41,1.2499,1.2499,21186.0
2025-05-09,1.45,1.4515,1.32,1.32,7360.0
2025-05-08,1.32,1.46,1.32,1.4,40594.0
2025-05-07,1.38,1.38,1.26,1.29,10536.0
2025-05-06,1.325,1.36,1.31,1.325,16330.0
2025-05-05,1.29,1.39,1.28,1.315,7062.0
2025-05-02,1.32,1.36,1.3,1.31,7519.0
2025-05-01,1.315,1.3999,1.2714,1.29,38665.0
2025-04-30,1.1,1.38,1.1,1.34,40313.0
2025-04-29,1.14,1.25,1.14,1.2,7896.0
2025-04-28,1.18,1.25,1.17,1.21,9380.0
2025-04-25,1.17,1.33,1.14,1.27,22183.0
2025-04-24,1.15,1.35,1.12,1.25,53211.0
2025-04-23,1.14,1.15,1.06,1.14,9115.0
2025-04-22,0.9393,1.1098,0.9393,1.0681,9502.0
2025-04-21,1.07,1.07,0.9201,0.9201,18660.0
2025-04-17,1.0472,1.11,1.01,1.07,11757.0
2025-04-16,0.8671,1.0861,0.8671,1.05,21016.0
2025-04-15,0.9486,0.97,0.863,0.96,3024.0
2025-04-14,0.862,0.958,0.77,0.958,11597.0
2025-04-11,0.8653,0.97,0.82,0.82,30463.0
2025-04-10,0.93,1.0,0.901,0.92,30669.0
2025-04-09,0.885,1.145,0.8802,1.09,107855.0
2025-04-08,0.899,0.935,0.899,0.91,2679.0
2025-04-07,0.88,0.89,0.86,0.87,11947.0
2025-04-04,0.92,0.93,0.86,0.8806,44800.0
2025-04-03,0.901,0.93,0.8411,0.86,13223.0
