Date,1. open,2. high,3. low,4. close,5. volume
2025-05-30,0.2295,0.2333,0.21,0.2137,1167857.0
2025-05-29,0.2496,0.2496,0.2283,0.233,1580999.0
2025-05-28,0.211,0.28,0.2061,0.2565,17885838.0
2025-05-27,0.2129,0.2197,0.21,0.2147,1132279.0
2025-05-23,0.224,0.2285,0.2002,0.212,2597697.0
2025-05-22,0.2452,0.2542,0.225,0.23,3218642.0
2025-05-21,0.23,0.2693,0.23,0.2546,4279986.0
2025-05-20,0.27,0.291,0.245,0.2549,5855672.0
2025-05-19,0.28,0.3299,0.2566,0.272,125322595.0
2025-05-16,0.2543,0.27,0.2207,0.23,16551125.0
2025-05-15,0.2234,0.3801,0.175,0.2651,362297464.0
2025-05-14,0.1733,0.1926,0.1516,0.165,5500651.0
2025-05-13,0.209,0.2179,0.193,0.205,13023932.0
2025-05-12,0.1984,0.2189,0.186,0.2098,816447.0
2025-05-09,0.194,0.2,0.175,0.2,434069.0
2025-05-08,0.2281,0.2498,0.1846,0.194,2258370.0
2025-05-07,0.218,0.2239,0.2105,0.221,93583.0
2025-05-06,0.2264,0.2265,0.2111,0.2177,335576.0
2025-05-05,0.23,0.2389,0.22,0.229,211081.0
2025-05-02,0.241,0.241,0.2202,0.23,412496.0
2025-05-01,0.246,0.26,0.211,0.219,433793.0
2025-04-30,0.25,0.2598,0.2212,0.2388,584246.0
2025-04-29,0.251,0.26,0.2452,0.26,705704.0
2025-04-28,0.29,0.29,0.233,0.2607,6369519.0
2025-04-25,0.34,0.3498,0.2911,0.318,361090.0
2025-04-24,0.35,0.36,0.2918,0.331,496485.0
2025-04-23,0.2847,0.327,0.275,0.3242,267061.0
2025-04-22,0.2539,0.2697,0.2467,0.267,195208.0
2025-04-21,0.26,0.27,0.231,0.231,234976.0
2025-04-17,0.26,0.273,0.233,0.258,277597.0
2025-04-16,0.293,0.293,0.2302,0.246,184415.0
2025-04-15,0.29,0.29,0.2535,0.263,156922.0
2025-04-14,0.299,0.299,0.2689,0.295,142931.0
2025-04-11,0.27,0.28,0.251,0.276,169061.0
2025-04-10,0.27,0.28,0.2568,0.2618,127106.0
2025-04-09,0.27,0.2849,0.2482,0.26,227985.0
2025-04-08,0.296,0.3343,0.23,0.2744,972948.0
2025-04-07,0.35,0.35,0.28,0.3052,259798.0
2025-04-04,0.4,0.4221,0.3274,0.34,90535.0
2025-04-03,0.4,0.421,0.3585,0.361,125146.0
2025-04-02,0.49,0.49,0.4,0.4101,134011.0
2025-04-01,0.429,0.445,0.414,0.4305,14435.0
2025-03-31,0.426,0.4378,0.414,0.414,20397.0
