Date,1. open,2. high,3. low,4. close,5. volume
2025-05-30,2.71,2.72,2.59,2.65,2133977.0
2025-05-29,2.8,2.84,2.66,2.74,2172991.0
2025-05-28,2.7,2.78,2.67,2.74,1850737.0
2025-05-27,2.69,2.795,2.62,2.72,2187301.0
2025-05-23,2.6,2.6802,2.56,2.66,2031452.0
2025-05-22,2.67,2.7154,2.63,2.66,2239315.0
2025-05-21,2.76,2.78,2.66,2.7,2758889.0
2025-05-20,2.75,2.875,2.69,2.79,2407521.0
2025-05-19,2.81,2.835,2.675,2.77,3535349.0
2025-05-16,2.97,3.065,2.85,2.88,2940739.0
2025-05-15,2.91,2.99,2.831,2.96,2754445.0
2025-05-14,3.61,3.65,2.83,2.91,10466315.0
2025-05-13,2.91,2.96,2.75,2.96,4824258.0
2025-05-12,2.93,2.98,2.81,2.93,3062490.0
2025-05-09,2.81,2.89,2.73,2.75,2105944.0
2025-05-08,2.7,2.94,2.62,2.8,3293336.0
2025-05-07,2.73,2.76,2.62,2.66,1832505.0
2025-05-06,2.85,2.85,2.64,2.65,2602450.0
2025-05-05,3.01,3.03,2.85,2.87,1798814.0
2025-05-02,3.09,3.155,3.02,3.03,1726884.0
2025-05-01,3.1,3.12,2.97,3.03,1530190.0
2025-04-30,2.98,3.09,2.85,3.07,2260391.0
2025-04-29,3.17,3.19,3.0,3.03,1459733.0
2025-04-28,3.13,3.24,3.095,3.19,1533908.0
2025-04-25,3.22,3.24,3.12,3.13,1576441.0
2025-04-24,3.2,3.26,3.135,3.22,1461309.0
2025-04-23,3.37,3.54,3.19,3.19,2604479.0
2025-04-22,3.14,3.3,3.12,3.21,2699088.0
2025-04-21,3.01,3.26,3.01,3.07,2717381.0
2025-04-17,3.04,3.12,2.96,3.09,1634531.0
2025-04-16,3.11,3.2,2.95,3.05,2442790.0
2025-04-15,3.03,3.298,2.98,3.12,3248301.0
2025-04-14,3.11,3.12,2.88,3.09,4146178.0
2025-04-11,2.78,3.02,2.6203,3.02,7175332.0
2025-04-10,2.48,2.59,2.31,2.455,3189639.0
2025-04-09,2.21,2.72,2.18,2.58,4638862.0
2025-04-08,2.44,2.49,2.2315,2.27,2810699.0
2025-04-07,2.1,2.43,2.0105,2.32,3382250.0
2025-04-04,2.2,2.3,2.01,2.28,3785013.0
2025-04-03,2.285,2.36,2.23,2.235,2809558.0
2025-04-02,2.3,2.615,2.3,2.48,3378159.0
2025-04-01,2.52,2.53,2.34,2.4,4036714.0
2025-03-31,2.59,2.59,2.5,2.51,3669210.0
2025-03-28,2.8,2.86,2.68,2.7,2323216.0
2025-03-27,2.86,2.93,2.8,2.81,2792702.0
2025-03-26,3.07,3.08,2.9,2.9,3547179.0
2025-03-25,3.1,3.145,3.01,3.07,2512347.0
2025-03-24,3.11,3.16,3.06,3.1,3014922.0
2025-03-21,2.98,3.11,2.95,3.01,3208916.0
2025-03-20,2.94,3.15,2.93,3.04,3799125.0
2025-03-19,3.0,3.09,2.81,2.98,5910308.0
2025-03-18,3.14,3.149,2.96,3.08,4643473.0
2025-03-17,3.2,3.32,3.115,3.21,3119300.0
2025-03-14,2.975,3.205,2.9025,3.14,5130965.0
2025-03-13,3.14,3.18,2.9,2.9,2994404.0
2025-03-12,3.07,3.26,3.055,3.12,3268927.0
2025-03-11,3.03,3.09,2.865,2.95,4467261.0
2025-03-10,3.06,3.14,2.96,3.06,4214734.0
2025-03-07,3.1,3.225,3.031,3.12,2715360.0
2025-03-06,3.21,3.26,3.02,3.1,4784889.0
2025-03-05,3.28,3.405,3.22,3.36,2609677.0
2025-03-04,3.25,3.35,3.03,3.27,7347615.0
2025-03-03,3.94,3.995,3.37,3.42,4498759.0
2025-02-28,3.91,4.16,3.835,3.85,3504779.0
2025-02-27,4.32,4.346,4.04,4.04,2980846.0
