Date,1. open,2. high,3. low,4. close,5. volume
2025-05-30,4.05,4.1899,3.9,4.1,28046.0
2025-05-29,4.14,4.28,4.007,4.07,46547.0
2025-05-28,4.3,4.6,4.01,4.08,34555.0
2025-05-27,3.9,4.76,3.85,4.21,125999.0
2025-05-23,3.32,3.83,3.32,3.82,52897.0
2025-05-22,3.23,3.59,3.1506,3.45,278250.0
2025-05-21,4.26,4.26,3.6101,3.72,78851.0
2025-05-20,4.0,4.4799,3.81,4.19,56566.0
2025-05-19,3.6,4.3534,3.5,4.06,150035.0
2025-05-16,3.26,3.9199,3.12,3.79,141376.0
2025-05-15,3.1015,3.8599,3.08,3.2,157433.0
2025-05-14,3.3,3.45,2.91,3.1,122465.0
2025-05-13,3.58,3.6118,3.11,3.28,256927.0
2025-05-12,4.21,4.3242,3.03,3.79,949229.0
2025-05-09,2.46,9.4,2.4,8.41,5324102.0
2025-05-08,2.4,2.55,2.28,2.33,27573.0
2025-05-07,2.35,2.64,2.35,2.56,7241.0
2025-05-06,2.65,2.74,2.25,2.49,25105.0
2025-05-05,2.77,2.7899,2.65,2.6529,2083.0
2025-05-02,2.8001,2.9491,2.58,2.8,14384.0
2025-05-01,2.55,3.1,2.447,2.86,127144.0
2025-04-30,2.8,2.921,2.42,2.58,45570.0
2025-04-29,2.6561,3.1499,2.6561,2.7815,25901.0
2025-04-28,2.7,3.0693,2.6834,2.9,27107.0
2025-04-25,2.63,3.22,2.38,3.22,19546.0
2025-04-24,2.8501,2.8501,2.3601,2.4717,14993.0
2025-04-23,2.43,2.84,2.21,2.5699,46543.0
2025-04-22,2.01,2.4549,1.9,2.25,60216.0
2025-04-21,1.85,2.14,1.85,1.931,10458.0
2025-04-17,1.95,2.0,1.8,1.9653,9069.0
2025-04-16,1.92,2.09,1.75,1.9401,35144.0
2025-04-15,1.92,2.4526,1.9,1.95,29986.0
2025-04-14,1.8,2.3499,1.72,2.1,54589.0
2025-04-11,1.95,1.95,1.7501,1.7667,15570.0
2025-04-10,1.78,2.0,1.68,1.78,14311.0
2025-04-09,1.5901,1.85,1.52,1.775,26995.0
2025-04-08,1.5,1.9,1.4,1.61,36200.0
2025-04-07,1.68,1.935,1.3501,1.5001,50370.0
2025-04-04,1.98,1.99,1.82,1.98,10712.0
2025-04-03,2.24,2.31,2.05,2.1399,12641.0
2025-04-02,2.68,2.68,2.3499,2.53,8659.0
2025-04-01,3.01,3.01,2.44,2.69,16262.0
2025-03-31,3.28,3.28,3.0,3.01,3265.0
2025-03-28,2.9232,3.2773,2.9232,3.2773,2185.0
2025-03-27,3.16,3.16,3.16,3.16,513.0
2025-03-26,3.25,3.25,3.2,3.2,3735.0
2025-03-25,3.25,3.3252,3.1701,3.25,6098.0
2025-03-24,3.54,3.65,3.46,3.46,8571.0
2025-03-21,3.52,3.5463,3.5,3.51,9071.0
2025-03-20,3.7,3.8999,3.7,3.79,3907.0
2025-03-19,3.39,3.8996,3.38,3.85,27937.0
2025-03-18,3.3,3.58,3.2,3.3399,47855.0
2025-03-17,3.1,3.6399,3.0601,3.31,40698.0
2025-03-14,3.13,3.67,3.13,3.16,28433.0
2025-03-13,3.39,3.5,3.31,3.31,6170.0
2025-03-12,3.3,3.7428,3.0743,3.5,50410.0
2025-03-11,3.54,3.7,3.23,3.33,17417.0
2025-03-10,3.4,4.19,3.123,3.732,110375.0
2025-03-07,0.2949,0.2989,0.25,0.2515,326408.0
2025-03-06,0.3411,0.36,0.32,0.3201,307743.0
2025-03-05,0.35,0.4111,0.33,0.4111,132807.0
2025-03-04,0.3225,0.3565,0.295,0.3515,3939473.0
2025-03-03,0.438,0.46,0.415,0.415,358090.0
2025-02-28,0.415,0.4497,0.415,0.416,11676.0
2025-02-27,0.4352,0.4356,0.42,0.421,6582.0
2025-02-26,0.42,0.44,0.42,0.4203,21451.0
2025-02-25,0.4158,0.449,0.4158,0.4221,19548.0
2025-02-24,0.4399,0.444,0.415,0.444,11402.0
2025-02-21,0.4399,0.4492,0.411,0.411,275102.0
2025-02-20,0.4515,0.4599,0.42,0.42,5915.0
2025-02-19,0.42,0.4425,0.4,0.4236,53669.0
2025-02-18,0.42,0.4575,0.42,0.4202,21720.0
2025-02-14,0.4277,0.4433,0.42,0.42,13562.0
2025-02-13,0.426,0.43,0.4,0.427,16471.0
2025-02-12,0.45,0.45,0.4001,0.4201,24926.0
2025-02-11,0.44,0.441,0.405,0.4072,76555.0
2025-02-10,0.4477,0.45,0.42,0.45,36082.0
2025-02-07,0.445,0.4675,0.44,0.45,15370.0
2025-02-06,0.4655,0.466,0.442,0.465,34925.0
2025-02-05,0.46,0.49,0.4496,0.4674,83554.0
2025-02-04,0.5,0.5,0.46,0.4718,40852.0
2025-02-03,0.46,0.4998,0.44,0.4453,73865.0
2025-01-31,0.5076,0.5141,0.464,0.464,20399.0
2025-01-30,0.4907,0.5142,0.485,0.5141,20000.0
2025-01-29,0.508,0.508,0.47,0.4714,17641.0
2025-01-28,0.4935,0.4935,0.47,0.485,9638.0
2025-01-27,0.5099,0.51,0.47,0.47,19989.0
2025-01-24,0.527,0.55,0.51,0.51,33712.0
2025-01-23,0.519,0.55,0.519,0.535,29453.0
2025-01-22,0.592,0.592,0.5046,0.5191,43587.0
2025-01-21,0.5799,0.58,0.542,0.56,83235.0
2025-01-17,0.52,0.5966,0.52,0.5626,127945.0
2025-01-16,0.5,0.53,0.48,0.5099,58900.0
2025-01-15,0.47,0.51,0.47,0.4901,55073.0
2025-01-14,0.48,0.5299,0.461,0.47,66866.0
2025-01-13,0.47,0.4999,0.4512,0.4971,64731.0
2025-01-10,0.4443,0.519,0.4305,0.4501,53806.0
2025-01-08,0.53,0.53,0.44,0.4465,162444.0
2025-01-07,0.56,0.5778,0.48,0.48,202403.0
2025-01-06,0.725,0.725,0.56,0.56,250236.0
2025-01-03,0.6,0.645,0.5522,0.6099,125241.0
2025-01-02,0.6375,0.6769,0.6,0.646,367558.0
2024-12-31,0.4778,0.9397,0.4778,0.6889,7024770.0
2024-12-30,0.473,0.4899,0.4401,0.4775,42686.0
2024-12-27,0.4441,0.45,0.43,0.4331,31214.0
2024-12-26,0.45,0.4895,0.4439,0.4439,90285.0
2024-12-24,0.4451,0.46,0.445,0.4477,15545.0
2024-12-23,0.4541,0.491,0.4431,0.4447,63677.0
2024-12-20,0.49,0.49,0.4501,0.455,66790.0
2024-12-19,0.575,0.575,0.4947,0.4948,28078.0
2024-12-18,0.51,0.58,0.4915,0.537,135882.0
2024-12-17,0.52,0.52,0.4714,0.4914,111697.0
2024-12-16,0.53,0.53,0.4615,0.52,71597.0
2024-12-13,0.52,0.52,0.4501,0.4946,107808.0
2024-12-12,0.59,0.59,0.41,0.45,308260.0
2024-12-11,0.57,0.6097,0.57,0.5999,47020.0
2024-12-10,0.66,0.67,0.55,0.5603,75158.0
2024-12-09,0.678,0.68,0.63,0.6402,72820.0
2024-12-06,0.6897,0.691,0.6305,0.6539,62337.0
2024-12-05,0.64,0.72,0.62,0.6897,281884.0
2024-12-04,0.601,0.645,0.6,0.6299,58928.0
2024-12-03,0.61,0.63,0.61,0.61,61136.0
2024-12-02,0.6051,0.64,0.601,0.6101,32692.0
2024-11-29,0.58,0.647,0.57,0.619,46652.0
2024-11-27,0.63,0.63,0.5801,0.59,36913.0
2024-11-26,0.65,0.664,0.6,0.615,13058.0
2024-11-25,0.649,0.68,0.62,0.663,96133.0
2024-11-22,0.64,0.67,0.6214,0.63,74284.0
2024-11-21,0.63,0.65,0.625,0.6399,41520.0
2024-11-20,0.6,0.649,0.6,0.6189,87622.0
2024-11-19,0.56,0.58,0.525,0.5621,52680.0
2024-11-18,0.588,0.61,0.55,0.576,36873.0
2024-11-15,0.56,0.6,0.5013,0.5892,101187.0
2024-11-14,0.6261,0.69,0.5108,0.532,225983.0
2024-11-13,0.75,0.85,0.6299,0.65,457450.0
2024-11-12,0.6113,0.73,0.591,0.7201,562948.0
