Date,1. open,2. high,3. low,4. close,5. volume
2025-05-30,3.42,3.43,3.325,3.36,635966.0
2025-05-29,3.42,3.53,3.38,3.44,881382.0
2025-05-28,3.45,3.535,3.4,3.41,727878.0
2025-05-27,3.24,3.46,3.236,3.45,1119900.0
2025-05-23,3.16,3.235,3.14,3.22,532467.0
2025-05-22,3.15,3.235,3.11,3.22,779781.0
2025-05-21,3.17,3.25,3.11,3.17,1102676.0
2025-05-20,3.12,3.23,3.08,3.21,756281.0
2025-05-19,3.06,3.16,3.04,3.13,611685.0
2025-05-16,3.1,3.15,3.05,3.08,1052601.0
2025-05-15,3.13,3.145,2.94,3.12,950376.0
2025-05-14,3.15,3.23,3.14,3.16,805975.0
2025-05-13,3.37,3.42,3.17,3.19,643534.0
2025-05-12,3.3,3.37,3.25,3.35,834314.0
2025-05-09,3.29,3.365,3.22,3.23,640237.0
2025-05-08,3.28,3.355,3.11,3.3,928949.0
2025-05-07,3.39,3.455,3.26,3.29,1106416.0
2025-05-06,3.47,3.49,3.32,3.32,821066.0
2025-05-05,3.6,3.66,3.36,3.51,1079005.0
2025-05-02,3.62,3.725,3.58,3.59,866083.0
2025-05-01,3.56,3.62,3.51,3.61,1002502.0
2025-04-30,3.36,3.62,3.36,3.55,1144205.0
2025-04-29,3.34,3.455,3.33,3.41,950035.0
2025-04-28,3.31,3.365,3.31,3.34,625357.0
2025-04-25,3.3,3.35,3.255,3.29,536892.0
2025-04-24,3.25,3.35,3.23,3.34,774783.0
2025-04-23,3.27,3.32,3.22,3.24,544026.0
2025-04-22,3.25,3.27,3.135,3.19,652932.0
2025-04-21,3.1,3.32,3.085,3.21,1014526.0
2025-04-17,3.05,3.16,3.0,3.15,744826.0
2025-04-16,3.15,3.17,2.995,3.06,1123210.0
2025-04-15,3.27,3.34,3.15,3.16,1054353.0
2025-04-14,3.18,3.31,3.15,3.28,1245043.0
2025-04-11,3.12,3.19,3.04,3.14,912062.0
2025-04-10,3.09,3.135,3.0,3.12,1482693.0
2025-04-09,2.85,3.225,2.705,3.17,2695729.0
2025-04-08,3.05,3.19,2.84,2.88,1215739.0
2025-04-07,3.14,3.14,2.89,3.005,1852424.0
2025-04-04,3.41,3.455,3.175,3.23,1537723.0
2025-04-03,3.4,3.535,3.365,3.51,1770562.0
2025-04-02,3.5,3.61,3.465,3.51,1316371.0
2025-04-01,3.46,3.6,3.41,3.48,1358881.0
2025-03-31,3.44,3.54,3.35,3.49,1395579.0
2025-03-28,3.27,3.54,3.26,3.5,1444569.0
2025-03-27,3.35,3.39,3.2,3.27,1448073.0
2025-03-26,3.37,3.45,3.315,3.35,653402.0
2025-03-25,3.37,3.4,3.31,3.37,680733.0
2025-03-24,3.28,3.4,3.28,3.39,749574.0
2025-03-21,3.3,3.34,3.26,3.28,1840328.0
2025-03-20,3.31,3.355,3.25,3.31,834368.0
2025-03-19,3.2,3.32,3.2,3.31,594870.0
2025-03-18,3.202,3.2713,3.16,3.2,557926.0
2025-03-17,3.29,3.31,3.21,3.28,556164.0
2025-03-14,3.34,3.405,3.285,3.3,707417.0
2025-03-13,3.2,3.505,3.17,3.32,1316040.0
2025-03-12,3.06,3.2,3.02,3.19,785473.0
2025-03-11,3.12,3.179,3.02,3.06,804872.0
2025-03-10,3.29,3.32,3.09,3.11,1050161.0
2025-03-07,3.42,3.42,3.26,3.31,1191925.0
2025-03-06,3.41,3.545,3.37,3.37,1313961.0
2025-03-05,3.39,3.48,3.32,3.46,862359.0
2025-03-04,3.4,3.57,3.345,3.39,1088295.0
2025-03-03,3.43,3.52,3.375,3.42,1310803.0
2025-02-28,3.37,3.485,3.33,3.45,1002516.0
2025-02-27,3.5,3.5,3.27,3.37,1390053.0
2025-02-26,3.5,3.56,3.37,3.44,1387542.0
2025-02-25,3.4,3.7,3.4,3.45,3532123.0
2025-02-24,3.42,3.43,3.34,3.34,578560.0
2025-02-21,3.46,3.515,3.4,3.42,960067.0
2025-02-20,3.395,3.45,3.37,3.44,499678.0
2025-02-19,3.33,3.42,3.315,3.39,630456.0
2025-02-18,3.31,3.44,3.3012,3.36,1030903.0
2025-02-14,3.3,3.36,3.235,3.29,426809.0
2025-02-13,3.33,3.3599,3.28,3.3,492006.0
2025-02-12,3.27,3.3234,3.265,3.31,317880.0
2025-02-11,3.31,3.335,3.255,3.31,363297.0
2025-02-10,3.44,3.465,3.32,3.33,398969.0
2025-02-07,3.41,3.45,3.33,3.43,734897.0
2025-02-06,3.57,3.615,3.41,3.41,1134862.0
2025-02-05,3.35,3.6,3.35,3.59,1125733.0
2025-02-04,3.27,3.37,3.25,3.36,695214.0
2025-02-03,3.28,3.3,3.17,3.28,720145.0
2025-01-31,3.28,3.36,3.25,3.33,701758.0
2025-01-30,3.39,3.41,3.2801,3.3,366663.0
2025-01-29,3.35,3.44,3.33,3.38,567966.0
2025-01-28,3.42,3.44,3.335,3.35,392883.0
2025-01-27,3.32,3.445,3.32,3.43,956215.0
2025-01-24,3.31,3.385,3.28,3.32,412235.0
2025-01-23,3.18,3.355,3.17,3.34,876945.0
2025-01-22,3.23,3.255,3.175,3.22,377756.0
2025-01-21,3.19,3.25,3.16,3.21,481149.0
2025-01-17,3.23,3.24,3.17,3.2,610726.0
2025-01-16,3.3,3.3,3.16,3.22,721299.0
2025-01-15,3.27,3.37,3.215,3.28,716243.0
2025-01-14,3.38,3.38,3.18,3.18,751142.0
2025-01-13,3.25,3.355,3.13,3.35,1059672.0
2025-01-10,3.33,3.33,3.235,3.29,836736.0
2025-01-08,3.37,3.38,3.215,3.35,920372.0
2025-01-07,3.27,3.54,3.25,3.41,1595621.0
2025-01-06,3.42,3.42,3.27,3.27,629056.0
2025-01-03,3.29,3.445,3.285,3.42,629575.0
2025-01-02,3.3,3.375,3.275,3.29,551953.0
2024-12-31,3.24,3.285,3.21,3.27,727427.0
2024-12-30,3.2,3.25,3.13,3.2,1178115.0
2024-12-27,3.16,3.22,3.115,3.21,831166.0
2024-12-26,3.15,3.21,3.135,3.19,788075.0
2024-12-24,3.21,3.21,3.11,3.18,370783.0
2024-12-23,3.19,3.245,3.1501,3.19,722268.0
2024-12-20,3.18,3.26,3.16,3.21,2993698.0
2024-12-19,3.21,3.26,3.14,3.21,754546.0
2024-12-18,3.46,3.46,3.13,3.19,992761.0
2024-12-17,3.49,3.59,3.431,3.46,1187750.0
2024-12-16,3.45,3.605,3.44,3.55,545252.0
2024-12-13,3.54,3.58,3.44,3.48,565594.0
2024-12-12,3.64,3.75,3.56,3.56,661401.0
2024-12-11,3.76,3.78,3.63,3.64,639441.0
2024-12-10,3.71,3.79,3.665,3.76,706779.0
2024-12-09,3.69,3.73,3.65,3.68,489739.0
2024-12-06,3.59,3.725,3.59,3.68,483364.0
2024-12-05,3.79,3.79,3.61,3.63,788331.0
2024-12-04,3.41,3.75,3.36,3.74,1304338.0
2024-12-03,3.47,3.48,3.365,3.41,559080.0
2024-12-02,3.47,3.52,3.445,3.46,875459.0
2024-11-29,3.47,3.51,3.46,3.46,315397.0
2024-11-27,3.45,3.5,3.385,3.47,483162.0
2024-11-26,3.42,3.47,3.39,3.41,608598.0
2024-11-25,3.52,3.58,3.41,3.42,2395682.0
2024-11-22,3.47,3.525,3.45,3.51,717354.0
2024-11-21,3.44,3.56,3.428,3.46,922812.0
2024-11-20,3.53,3.5399,3.42,3.44,626519.0
2024-11-19,3.51,3.5199,3.42,3.49,910533.0
2024-11-18,3.64,3.68,3.49,3.52,1063750.0
2024-11-15,3.68,3.68,3.4205,3.64,1791235.0
2024-11-14,3.66,3.81,3.625,3.63,1140579.0
2024-11-13,3.65,3.755,3.645,3.65,652430.0
2024-11-12,3.73,3.75,3.61,3.64,778875.0
2024-11-11,3.75,3.84,3.73,3.73,830022.0
2024-11-08,3.75,3.79,3.695,3.75,915560.0
2024-11-07,3.92,3.92,3.7,3.73,1054208.0
2024-11-06,3.85,3.955,3.6,3.92,1546221.0
2024-11-05,3.86,3.96,3.8,3.96,652311.0
2024-11-04,3.96,3.96,3.855,3.87,944765.0
2024-11-01,3.85,3.9903,3.8,3.96,554161.0
2024-10-31,3.94,3.96,3.825,3.845,724803.0
2024-10-30,4.01,4.03,3.93,3.94,436084.0
2024-10-29,4.05,4.05,3.97,4.04,544851.0
2024-10-28,4.01,4.1,4.005,4.05,487431.0
2024-10-25,4.05,4.09,3.95,3.97,504380.0
2024-10-24,4.04,4.08,4.01,4.05,395812.0
2024-10-23,4.03,4.12,3.96,4.06,917672.0
2024-10-22,4.06,4.08,3.91,4.03,945270.0
2024-10-21,4.15,4.15,3.98,4.07,787630.0
2024-10-18,4.12,4.19,4.105,4.15,876479.0
2024-10-17,4.2,4.208,4.08,4.12,901012.0
2024-10-16,4.15,4.3491,4.1,4.2,3353762.0
2024-10-15,3.91,4.12,3.89,4.11,1173713.0
2024-10-14,3.88,3.9,3.83,3.86,423513.0
2024-10-11,3.79,3.9,3.79,3.88,443989.0
2024-10-10,3.7,3.8,3.68,3.79,647135.0
2024-10-09,3.77,3.78,3.7,3.76,659993.0
2024-10-08,3.72,3.8,3.71,3.77,387212.0
2024-10-07,3.83,3.84,3.7,3.73,662595.0
2024-10-04,3.91,3.92,3.81,3.84,636889.0
2024-10-03,3.9,3.975,3.8148,3.85,719743.0
2024-10-02,3.79,3.91,3.75,3.9,931769.0
2024-10-01,3.81,3.84,3.65,3.83,1210624.0
2024-09-30,3.79,3.9,3.79,3.85,670081.0
2024-09-27,3.96,3.96,3.79,3.83,950121.0
2024-09-26,3.94,4.01,3.93,3.96,894850.0
2024-09-25,4.01,4.025,3.89,3.91,792367.0
2024-09-24,4.05,4.06,3.95,4.02,781779.0
2024-09-23,4.05,4.105,4.0,4.04,1503863.0
2024-09-20,4.15,4.18,4.015,4.02,7512048.0
2024-09-19,4.21,4.24,4.105,4.14,1298089.0
2024-09-18,4.07,4.215,4.07,4.13,1227421.0
2024-09-17,4.27,4.3199,4.075,4.08,1606396.0
2024-09-16,4.49,4.54,4.24,4.26,1161046.0
2024-09-13,4.34,4.49,4.33,4.47,1071879.0
2024-09-12,4.6,4.605,4.245,4.31,1609315.0
2024-09-11,4.54,4.61,4.465,4.56,1094427.0
2024-09-10,4.49,4.6,4.36,4.56,1634584.0
2024-09-09,4.58,4.725,4.44,4.49,1730364.0
2024-09-06,4.53,4.56,4.39,4.55,1579948.0
2024-09-05,4.18,4.52,4.17,4.51,3255121.0
2024-09-04,3.96,4.19,3.93,4.09,1435986.0
2024-09-03,3.89,4.045,3.84,3.99,2192258.0
