"Date","Price","Open","High","Low","Vol.","Change %"
"05/20/2025","101.63","101.67","102.17","101.12","2.60M","-0.25%"
"05/19/2025","101.88","100.67","101.93","100.67","3.95M","0.10%"
"05/16/2025","101.78","101.47","101.82","100.85","4.16M","0.68%"
"05/15/2025","101.09","100.75","101.60","100.63","3.26M","0.40%"
"05/14/2025","100.69","100.14","100.79","100.00","4.41M","0.52%"
"05/13/2025","100.17","99.48","100.58","99.19","5.38M","0.98%"
"05/12/2025","99.20","99.50","99.51","98.32","3.34M","2.08%"
"05/09/2025","97.18","98.01","98.09","97.03","4.43M","-0.51%"
"05/08/2025","97.68","98.04","98.61","97.37","3.87M","0.24%"
"05/07/2025","97.45","98.41","98.85","96.65","4.16M","-0.18%"
"05/06/2025","97.63","96.69","98.02","96.66","4.09M","-0.02%"
"05/05/2025","97.65","96.38","98.07","96.23","3.76M","0.24%"
"05/02/2025","97.42","96.55","97.93","96.41","3.54M","1.55%"
"05/01/2025","95.93","96.74","96.92","95.67","3.75M","0.51%"
"04/30/2025","95.44","94.48","95.69","93.14","3.12M","0.03%"
"04/29/2025","95.41","94.40","95.50","94.22","2.71M","0.73%"
"04/28/2025","94.72","94.68","95.22","93.85","2.46M","0.38%"
"04/25/2025","94.36","94.54","94.68","93.68","3.17M","0.63%"
"04/24/2025","93.77","91.66","93.94","91.45","3.04M","2.00%"
"04/23/2025","91.93","92.27","93.46","91.52","5.03M","1.60%"
"04/22/2025","90.48","88.91","90.81","88.88","4.28M","2.61%"
"04/21/2025","88.18","89.45","89.82","87.49","5.53M","-2.25%"
"04/17/2025","90.21","90.15","90.87","89.53","3.52M","0.65%"
"04/16/2025","89.63","91.31","91.52","88.87","3.86M","-2.69%"
"04/15/2025","92.11","92.18","92.95","91.90","3.14M","0.25%"
"04/14/2025","91.88","92.50","93.08","91.29","3.67M","0.67%"
"04/11/2025","91.27","90.40","91.54","89.60","4.82M","0.85%"
"04/10/2025","90.50","92.61","92.86","88.34","9.32M","-3.46%"
"04/09/2025","93.74","85.45","94.15","84.96","23.91M","8.84%"
"04/08/2025","86.13","90.13","90.40","85.12","13.55M","-1.40%"
"04/07/2025","87.35","84.46","90.75","84.02","22.02M","0.14%"
"04/04/2025","87.23","90.26","91.00","87.17","13.03M","-5.73%"
"04/03/2025","92.53","94.02","94.87","92.40","10.08M","-4.46%"
"04/02/2025","96.85","95.71","97.34","95.50","5.56M","0.35%"
"04/01/2025","96.51","96.15","97.20","95.49","5.88M","0.06%"
"03/31/2025","96.45","95.13","96.57","94.13","5.19M","0.74%"
"03/28/2025","95.74","98.47","98.56","95.64","5.60M","-2.95%"
"03/27/2025","98.65","98.76","99.57","98.55","3.32M","-0.44%"
"03/26/2025","99.09","99.85","100.21","98.93","4.48M","-0.85%"
"03/25/2025","99.94","99.11","100.07","98.91","2.50M","1.27%"
"03/24/2025","98.69","98.63","98.85","98.19","3.65M","1.12%"
"03/21/2025","97.60","96.16","97.69","96.16","5.72M","0.78%"
"03/20/2025","96.84","96.46","97.99","96.32","4.88M","-0.22%"
"03/19/2025","97.05","96.28","97.80","95.95","5.88M","1.19%"
"03/18/2025","95.91","96.92","96.92","95.14","4.42M","-1.40%"
"03/17/2025","97.27","96.58","97.72","96.58","3.03M","0.71%"
