"Date","Price","Open","High","Low","Vol.","Change %"
"05/27/2025","82.70","82.56","82.82","81.95","9.46M","0.87%"
"05/23/2025","81.99","81.01","82.19","80.98","11.76M","0.32%"
"05/22/2025","81.73","81.62","82.19","80.72","11.87M","-0.39%"
"05/21/2025","82.05","83.09","83.25","82.04","12.85M","-1.84%"
"05/20/2025","83.59","84.31","84.50","83.51","11.39M","-0.92%"
"05/19/2025","84.37","84.77","84.86","83.75","12.39M","-1.30%"
"05/16/2025","85.48","85.80","85.85","84.61","10.86M","-0.15%"
"05/15/2025","85.61","84.17","85.66","83.96","14.86M","0.42%"
"05/14/2025","85.25","85.19","85.58","84.92","10.67M","-0.61%"
"05/13/2025","85.77","85.00","86.44","84.66","14.52M","1.41%"
"05/12/2025","84.58","85.48","85.87","83.96","16.31M","2.61%"
"05/09/2025","82.43","82.60","82.83","81.76","10.00M","1.00%"
"05/08/2025","81.61","81.29","82.72","81.16","15.28M","1.32%"
"05/07/2025","80.55","80.70","80.96","79.94","11.22M","0.04%"
"05/06/2025","80.52","80.86","81.22","80.07","11.50M","0.02%"
"05/05/2025","80.50","80.95","81.06","80.05","14.77M","-1.81%"
"05/02/2025","81.98","81.78","82.39","80.32","16.02M","1.46%"
"05/01/2025","80.80","79.84","81.86","79.84","18.16M","0.37%"
"04/30/2025","80.50","81.40","81.51","79.50","18.91M","-2.70%"
"04/29/2025","82.73","82.04","83.03","81.88","9.92M","-0.29%"
"04/28/2025","82.97","82.30","83.19","82.19","8.22M","0.70%"
