"Date","Price","Open","High","Low","Vol.","Change %"
"05/30/2025","50.96","50.68","51.04","50.46","37.95M","0.22%"
"05/29/2025","50.85","50.76","50.86","50.36","34.10M","0.51%"
"05/28/2025","50.59","50.89","51.02","50.51","31.73M","-0.67%"
"05/27/2025","50.93","50.44","50.96","50.26","38.64M","1.76%"
"05/23/2025","50.05","49.58","50.29","49.57","33.65M","-0.36%"
"05/22/2025","50.23","50.18","50.52","49.97","33.66M","-0.12%"
"05/21/2025","50.29","51.02","51.17","50.24","40.02M","-2.05%"
"05/20/2025","51.34","51.38","51.52","51.11","26.90M","-0.54%"
"05/19/2025","51.62","51.32","51.77","51.24","26.35M","0.06%"
"05/16/2025","51.59","51.27","51.67","51.16","53.40M","0.60%"
"05/15/2025","51.28","50.87","51.36","50.83","34.74M","0.67%"
"05/14/2025","50.94","51.10","51.17","50.78","38.76M","-0.27%"
"05/13/2025","51.08","51.00","51.32","50.91","33.99M","0.41%"
"05/12/2025","50.87","51.11","51.19","50.55","44.27M","2.03%"
"05/09/2025","49.86","49.96","50.03","49.72","22.08M","0.00%"
"05/08/2025","49.86","49.84","50.37","49.72","31.29M","0.83%"
"05/07/2025","49.45","49.32","49.72","49.26","30.08M","0.59%"
"05/06/2025","49.16","49.00","49.56","48.97","28.95M","-0.57%"
"05/05/2025","49.44","49.34","49.83","49.10","24.14M","-0.64%"
"05/02/2025","49.76","49.49","49.94","49.33","35.03M","2.07%"
"05/01/2025","48.75","48.58","49.07","48.44","34.42M","-0.02%"
"04/30/2025","48.76","48.15","48.92","47.50","33.76M","0.18%"
"04/29/2025","48.67","48.18","48.76","47.96","42.48M","1.04%"
"04/28/2025","48.17","48.22","48.57","47.83","33.92M","0.31%"
"04/25/2025","48.02","48.01","48.23","47.70","28.11M","-0.48%"
"04/24/2025","48.25","47.55","48.34","47.36","26.82M","1.11%"
"04/23/2025","47.72","48.04","48.72","47.56","50.29M","1.19%"
"04/22/2025","47.16","46.34","47.28","46.20","38.15M","3.31%"
"04/21/2025","45.65","46.41","46.54","45.14","43.08M","-2.14%"
"04/17/2025","46.65","46.50","47.21","46.43","61.87M","0.26%"
"04/16/2025","46.53","47.17","47.34","46.18","47.93M","-1.57%"
"04/15/2025","47.27","47.42","47.90","47.23","41.84M","0.25%"
"04/14/2025","47.15","47.35","47.62","46.87","52.01M","1.03%"
"04/11/2025","46.67","45.60","46.97","45.37","63.65M","1.66%"
"04/10/2025","45.91","46.53","46.60","44.54","93.32M","-2.79%"
"04/09/2025","47.23","43.24","47.61","43.07","177.24M","7.54%"
"04/08/2025","43.92","45.80","46.22","43.24","98.80M","-0.39%"
"04/07/2025","44.09","42.84","45.65","42.21","179.99M","-0.25%"
"04/04/2025","44.20","46.07","46.41","44.09","128.14M","-7.32%"
"04/03/2025","47.69","48.20","48.65","47.60","101.16M","-4.92%"
"04/02/2025","50.16","49.35","50.33","49.27","41.79M","0.82%"
"04/01/2025","49.75","49.62","49.97","49.19","37.96M","-0.12%"
"03/31/2025","49.81","48.72","50.06","48.58","38.04M","1.22%"
"03/28/2025","49.21","50.03","50.30","49.01","45.37M","-1.93%"
"03/27/2025","50.18","50.19","50.44","49.78","32.30M","-0.20%"
"03/26/2025","50.28","50.58","50.91","50.09","39.75M","-0.30%"
"03/25/2025","50.43","50.33","50.51","50.08","24.87M","0.56%"
"03/24/2025","50.15","49.79","50.27","49.66","43.16M","1.40%"
"03/21/2025","49.46","49.39","49.64","49.03","53.38M","-0.36%"
"03/20/2025","49.64","49.29","49.97","49.20","46.33M","0.14%"
"03/19/2025","49.57","49.06","49.83","48.85","44.29M","1.10%"
"03/18/2025","49.03","49.13","49.29","48.85","32.71M","-0.12%"
"03/17/2025","49.09","48.33","49.33","48.31","43.57M","1.17%"
"03/14/2025","48.52","47.87","48.60","47.62","49.54M","2.32%"
"03/13/2025","47.42","47.79","48.08","47.28","49.99M","-0.55%"
"03/12/2025","47.68","48.12","48.19","47.22","60.70M","0.15%"
"03/11/2025","47.61","47.95","48.08","47.28","72.97M","-0.85%"
"03/10/2025","48.02","48.29","48.60","47.46","78.22M","-2.24%"
"03/07/2025","49.12","49.20","49.33","48.25","87.35M","-0.53%"
"03/06/2025","49.38","49.62","49.96","49.06","55.48M","-1.65%"
"03/05/2025","50.21","49.94","50.45","49.56","75.56M","0.58%"
"03/04/2025","49.92","51.22","51.28","49.64","99.34M","-3.52%"
"03/03/2025","51.74","52.32","52.63","51.37","76.10M","-0.84%"
"02/28/2025","52.18","51.39","52.26","51.17","63.54M","2.05%"
"02/27/2025","51.13","51.03","51.80","50.99","44.38M","0.55%"
"02/26/2025","50.85","50.97","51.32","50.75","31.25M","-0.22%"
"02/25/2025","50.96","51.27","51.40","50.31","50.13M","-0.02%"
"02/24/2025","50.97","50.99","51.40","50.68","56.67M","0.43%"
"02/21/2025","50.75","51.41","51.50","50.65","51.79M","-1.25%"
"02/20/2025","51.39","52.11","52.15","51.03","47.08M","-1.53%"
"02/19/2025","52.19","52.04","52.25","51.90","31.75M","0.04%"
"02/18/2025","52.17","51.88","52.20","51.74","33.50M","0.71%"
"02/14/2025","51.80","51.77","52.02","51.75","29.57M","0.19%"
"02/13/2025","51.70","51.50","51.77","51.28","36.37M","0.66%"
"02/12/2025","51.36","51.28","51.38","50.92","45.47M","-0.35%"
"02/11/2025","51.54","51.33","51.64","51.02","45.16M","0.25%"
"02/10/2025","51.41","51.91","51.97","51.19","37.92M","-0.79%"
"02/07/2025","51.82","52.17","52.26","51.78","40.60M","-0.56%"
"02/06/2025","52.11","51.98","52.13","51.76","34.36M","0.83%"
"02/05/2025","51.68","51.36","51.69","51.13","34.76M","1.06%"
"02/04/2025","51.14","51.32","51.39","51.00","41.74M","-0.23%"
"02/03/2025","51.26","50.75","51.40","50.41","77.42M","-0.41%"
"01/31/2025","51.47","51.83","51.97","51.44","40.43M","-0.58%"
"01/30/2025","51.77","51.75","52.04","51.43","64.25M","0.96%"
"01/29/2025","51.28","51.18","51.74","51.17","43.61M","-0.08%"
"01/28/2025","51.32","51.35","51.55","51.11","39.89M","-0.18%"
"01/27/2025","51.41","50.76","51.44","50.62","61.71M","1.10%"
"01/24/2025","50.85","50.53","50.90","50.48","39.09M","0.30%"
"01/23/2025","50.70","50.49","50.79","50.48","32.05M","0.58%"
"01/22/2025","50.41","50.65","50.66","50.21","37.23M","-0.47%"
"01/21/2025","50.65","50.40","50.71","50.38","33.27M","0.84%"
"01/17/2025","50.23","49.91","50.32","49.73","43.69M","0.84%"
"01/16/2025","49.81","49.46","49.85","49.46","33.83M","0.67%"
"01/15/2025","49.48","49.28","49.61","49.01","61.18M","2.55%"
"01/14/2025","48.25","47.85","48.29","47.74","39.35M","1.24%"
"01/13/2025","47.66","47.08","47.68","47.03","36.00M","0.72%"
"01/10/2025","47.32","48.10","48.14","47.15","53.13M","-2.41%"
"01/08/2025","48.49","48.34","48.50","48.02","36.42M","0.33%"
"01/07/2025","48.33","48.65","48.76","48.12","57.68M","-0.23%"
"01/06/2025","48.44","48.80","49.02","48.35","54.29M","-0.31%"
"01/03/2025","48.59","48.49","48.62","48.08","25.20M","0.79%"
"01/02/2025","48.21","48.58","48.76","47.94","35.88M","-0.25%"
"12/31/2024","48.33","48.40","48.57","48.16","25.17M","0.10%"
"12/30/2024","48.28","48.25","48.50","47.86","34.82M","-0.96%"
"12/27/2024","48.75","48.85","49.17","48.49","33.85M","-0.73%"
"12/26/2024","49.11","48.77","49.13","48.74","20.81M","0.24%"
"12/24/2024","48.99","48.52","49.01","48.42","18.35M","1.18%"
"12/23/2024","48.42","48.06","48.46","47.87","43.03M","-0.19%"
"12/20/2024","48.51","47.70","48.88","47.60","56.07M","1.49%"
"12/19/2024","47.80","48.17","48.53","47.79","63.64M","0.36%"
"12/18/2024","47.63","49.19","49.30","47.59","72.40M","-2.99%"
