"Date","Price","Open","High","Low","Vol.","Change %"
"05/30/2025","142.82","142.59","143.32","141.56","14.25M","0.06%"
"05/29/2025","142.73","143.19","143.29","141.72","12.11M","0.09%"
"05/28/2025","142.60","143.53","143.79","142.40","9.06M","-0.50%"
"05/27/2025","143.31","142.49","143.43","141.70","11.86M","1.76%"
"05/23/2025","140.83","139.69","141.34","139.63","8.23M","-0.33%"
"05/22/2025","141.29","141.06","142.15","140.53","8.99M","-0.02%"
"05/21/2025","141.32","142.98","143.39","141.11","9.60M","-1.69%"
"05/20/2025","143.75","143.69","144.46","143.19","6.83M","-0.36%"
"05/19/2025","144.27","142.39","144.39","142.39","5.46M","0.34%"
"05/16/2025","143.78","142.38","143.78","141.91","5.38M","1.14%"
"05/15/2025","142.16","141.00","142.38","140.80","5.76M","1.11%"
"05/14/2025","140.60","141.19","141.42","140.20","6.52M","-0.48%"
"05/13/2025","141.28","140.75","142.18","140.59","9.80M","0.70%"
"05/12/2025","140.30","140.31","140.35","138.98","8.32M","3.08%"
"05/09/2025","136.11","136.27","136.56","135.20","4.54M","0.08%"
"05/08/2025","136.00","135.19","137.35","134.94","7.91M","1.38%"
"05/07/2025","134.15","133.87","134.74","133.42","5.30M","0.51%"
"05/06/2025","133.47","133.24","134.23","132.96","5.40M","-0.88%"
"05/05/2025","134.65","133.76","135.45","133.67","4.52M","0.05%"
"05/02/2025","134.58","133.89","135.11","133.70","7.23M","1.79%"
"05/01/2025","132.21","131.78","133.15","131.25","9.34M","0.75%"
"04/30/2025","131.22","129.41","131.59","127.85","7.53M","0.72%"
"04/29/2025","130.28","129.05","130.54","128.94","5.04M","0.65%"
"04/28/2025","129.44","129.23","130.30","128.22","6.20M","0.33%"
"04/25/2025","129.01","128.71","129.50","128.10","5.83M","-0.01%"
"04/24/2025","129.02","126.14","129.26","125.75","7.15M","2.24%"
"04/23/2025","126.19","128.03","129.13","125.82","9.72M","1.25%"
"04/22/2025","124.63","123.49","125.18","123.12","7.49M","1.75%"
"04/21/2025","122.49","124.09","124.35","121.14","9.08M","-2.24%"
"04/17/2025","125.30","124.71","126.49","124.67","7.85M","0.55%"
"04/16/2025","124.62","125.74","126.43","123.64","8.04M","-1.37%"
"04/15/2025","126.35","126.77","127.81","126.15","6.23M","-0.50%"
"04/14/2025","126.98","127.19","127.82","125.92","8.06M","1.04%"
"04/11/2025","125.67","123.21","126.32","121.99","13.75M","1.77%"
"04/10/2025","123.49","124.46","124.98","119.91","26.23M","-2.58%"
"04/09/2025","126.76","115.23","127.55","115.23","36.61M","8.88%"
"04/08/2025","116.42","121.04","121.67","114.64","21.27M","-0.83%"
"04/07/2025","117.39","114.65","121.80","112.75","42.52M","-0.47%"
"04/04/2025","117.94","122.25","122.68","117.79","28.52M","-6.29%"
"04/03/2025","125.85","128.59","129.71","125.76","15.96M","-5.41%"
"04/02/2025","133.05","130.31","133.51","130.26","6.40M","0.94%"
"04/01/2025","131.81","130.77","132.09","129.65","8.72M","0.56%"
"03/31/2025","131.07","129.14","131.85","128.42","9.65M","0.71%"
"03/28/2025","130.15","132.45","132.80","130.08","10.20M","-2.06%"
"03/27/2025","132.89","133.56","134.01","132.27","8.41M","-0.53%"
"03/26/2025","133.60","134.70","135.38","133.20","6.90M","-0.66%"
"03/25/2025","134.49","134.56","134.93","133.84","5.34M","0.15%"
"03/24/2025","134.29","133.43","134.52","133.10","8.45M","1.54%"
"03/21/2025","132.25","131.81","132.41","130.98","10.04M","-0.53%"
"03/20/2025","132.96","132.57","133.94","132.32","8.08M","-0.50%"
"03/19/2025","133.63","132.31","134.39","132.15","8.27M","1.33%"
"03/18/2025","131.88","132.38","132.58","131.13","8.05M","-0.80%"
"03/17/2025","132.94","130.94","133.55","130.80","6.92M","1.38%"
"03/14/2025","131.13","130.01","131.38","129.47","8.92M","1.82%"
"03/13/2025","128.78","129.80","130.40","128.26","10.60M","-1.02%"
"03/12/2025","130.11","131.31","131.49","128.99","12.73M","-0.01%"
"03/11/2025","130.12","131.85","132.02","129.42","13.18M","-1.54%"
"03/10/2025","132.15","132.54","134.08","131.10","15.12M","-1.56%"
"03/07/2025","134.25","131.95","134.60","131.53","17.50M","1.17%"
"03/06/2025","132.70","132.47","133.60","131.74","12.03M","-0.86%"
"03/05/2025","133.85","132.24","134.40","132.10","12.12M","1.58%"
"03/04/2025","131.77","132.91","134.00","130.79","15.19M","-1.95%"
"03/03/2025","134.39","137.12","137.64","133.67","12.68M","-1.42%"
"02/28/2025","136.33","134.90","136.46","134.24","9.89M","1.34%"
"02/27/2025","134.53","135.31","136.43","134.35","9.62M","-0.35%"
"02/26/2025","135.00","135.61","136.36","134.82","8.33M","0.06%"
"02/25/2025","134.92","134.24","135.40","133.49","9.90M","0.51%"
"02/24/2025","134.23","135.36","135.60","134.05","10.88M","-0.45%"
"02/21/2025","134.84","138.00","138.00","134.31","14.56M","-2.19%"
"02/20/2025","137.86","138.61","138.63","136.87","9.31M","-0.66%"
"02/19/2025","138.77","138.29","139.08","138.07","9.45M","0.10%"
"02/18/2025","138.63","138.02","138.89","137.88","7.23M","0.79%"
"02/14/2025","137.55","138.08","138.25","137.38","5.80M","-0.25%"
"02/13/2025","137.89","137.74","138.25","137.31","8.54M","0.10%"
"02/12/2025","137.75","136.63","138.24","136.41","7.69M","-0.62%"
"02/11/2025","138.61","138.10","138.68","137.70","5.79M","0.04%"
"02/10/2025","138.56","138.22","138.61","137.63","5.45M","0.90%"
"02/07/2025","137.33","138.37","138.54","137.05","10.41M","-0.30%"
"02/06/2025","137.74","137.39","137.88","136.79","7.37M","0.45%"
"02/05/2025","137.12","137.50","137.74","136.15","8.18M","0.07%"
"02/04/2025","137.02","137.11","137.75","136.72","7.58M","0.03%"
"02/03/2025","136.98","135.93","137.97","135.33","13.91M","-0.99%"
"01/31/2025","138.35","139.29","139.74","138.19","10.15M","-0.70%"
"01/30/2025","139.33","137.59","139.59","137.59","8.17M","1.12%"
"01/29/2025","137.79","138.35","139.23","137.71","9.10M","-0.34%"
"01/28/2025","138.26","139.51","139.63","137.85","8.90M","-0.66%"
"01/27/2025","139.18","138.93","139.51","138.49","10.91M","-1.34%"
