"Date","Price","Open","High","Low","Vol.","Change %"
"05/20/2025","233.67","233.09","233.71","231.90","5.14M","-0.38%"
"05/19/2025","234.55","231.42","235.07","231.34","5.93M","-0.14%"
"05/16/2025","234.89","235.21","235.21","232.86","4.06M","0.19%"
"05/15/2025","234.45","232.86","235.77","232.58","4.77M","0.14%"
"05/14/2025","234.13","233.71","235.04","232.76","5.12M","0.65%"
"05/13/2025","232.62","228.52","233.38","228.26","6.38M","2.16%"
"05/12/2025","227.70","226.83","227.78","224.54","6.74M","4.64%"
"05/09/2025","217.60","218.84","219.24","216.48","3.67M","-0.12%"
"05/08/2025","217.87","217.95","219.93","216.01","4.35M","0.95%"
"05/07/2025","215.81","213.67","216.75","212.20","4.09M","1.00%"
"05/06/2025","213.67","212.26","215.24","211.61","3.98M","-0.83%"
"05/05/2025","215.46","214.75","217.00","214.64","3.38M","-0.53%"
"05/02/2025","216.61","215.49","217.62","214.91","4.06M","1.67%"
"05/01/2025","213.05","214.56","216.55","212.86","5.77M","1.47%"
"04/30/2025","209.97","204.99","210.75","203.80","5.10M","0.42%"
"04/29/2025","209.10","207.13","209.97","207.13","4.57M","0.47%"
"04/28/2025","208.13","208.20","209.23","205.02","2.79M","-0.16%"
"04/25/2025","208.47","204.81","208.85","204.61","3.26M","1.48%"
"04/24/2025","205.43","199.99","205.71","199.67","4.66M","3.73%"
"04/23/2025","198.04","199.84","201.95","197.23","6.71M","2.90%"
"04/22/2025","192.46","190.38","193.57","189.27","4.66M","2.44%"
"04/21/2025","187.88","189.81","190.29","185.18","4.49M","-2.58%"
"04/17/2025","192.86","195.30","195.30","192.04","3.74M","-0.54%"
"04/16/2025","193.91","195.50","197.58","190.54","6.61M","-3.47%"
"04/15/2025","200.89","200.47","202.41","199.95","3.60M","0.36%"
"04/14/2025","200.16","204.50","204.63","198.00","5.95M","0.91%"
"04/11/2025","198.35","193.40","199.20","191.95","7.21M","2.05%"
"04/10/2025","194.37","196.85","198.20","187.73","9.87M","-4.66%"
"04/09/2025","203.86","180.10","204.98","179.87","18.49M","13.43%"
"04/08/2025","179.73","190.29","192.84","176.44","12.91M","-2.03%"
"04/07/2025","183.46","174.93","191.81","172.45","22.28M","0.60%"
"04/04/2025","182.37","189.14","190.64","182.30","16.90M","-6.59%"
"04/03/2025","195.23","199.49","200.70","195.07","9.73M","-6.82%"
"04/02/2025","209.53","205.02","211.26","204.86","4.65M","0.74%"
"04/01/2025","207.99","205.66","208.17","203.98","4.74M","0.73%"
"03/31/2025","206.48","202.78","206.95","200.73","7.11M","0.05%"
"03/28/2025","206.38","210.41","211.26","205.68","5.33M","-2.43%"
"03/27/2025","211.51","212.02","213.22","210.39","3.29M","-0.92%"
"03/26/2025","213.48","217.68","218.20","212.64","3.94M","-2.23%"
"03/25/2025","218.35","217.49","218.64","217.38","3.74M","0.33%"
"03/24/2025","217.63","217.14","218.15","216.57","4.10M","1.72%"
"03/21/2025","213.96","210.71","214.25","209.94","5.21M","0.27%"
"03/20/2025","213.38","212.47","215.73","212.15","3.57M","-0.71%"
"03/19/2025","214.91","213.24","217.43","212.35","4.42M","1.30%"
"03/18/2025","212.15","213.90","214.12","211.37","5.74M","-1.52%"
"03/17/2025","215.43","213.77","216.96","213.15","5.07M","0.70%"
"03/14/2025","213.94","210.38","214.16","210.31","5.02M","3.02%"
"03/13/2025","207.66","211.07","211.54","206.85","6.19M","-1.90%"
"03/12/2025","211.68","212.12","213.52","209.15","5.49M","1.57%"
"03/11/2025","208.40","208.61","211.91","206.29","7.42M","-0.41%"
"03/10/2025","209.25","214.22","214.62","207.08","10.78M","-4.25%"
"03/07/2025","218.54","215.17","219.09","212.63","5.63M","1.45%"
"03/06/2025","215.42","217.02","220.45","214.38","8.22M","-2.78%"
"03/05/2025","221.57","219.18","222.29","216.24","5.97M","1.41%"
"03/04/2025","218.50","217.05","222.36","214.26","8.86M","-0.08%"
"03/03/2025","218.67","226.69","227.15","217.05","6.26M","-3.04%"
"02/28/2025","225.53","221.59","225.76","219.70","7.09M","1.32%"
"02/27/2025","222.59","232.26","232.50","222.49","5.05M","-3.64%"
"02/26/2025","231.00","230.75","233.18","229.23","3.82M","1.09%"
"02/25/2025","228.51","231.02","231.23","226.95","5.22M","-1.30%"
"02/24/2025","231.51","235.78","236.44","231.22","3.72M","-1.43%"
"02/21/2025","234.87","241.48","241.58","234.75","4.53M","-2.71%"
"02/20/2025","241.41","241.95","242.27","238.86","2.99M","-0.32%"
"02/19/2025","242.18","241.89","243.14","240.20","2.80M","0.01%"
"02/18/2025","242.16","241.21","242.19","240.09","3.01M","0.91%"
"02/14/2025","239.97","238.96","240.16","238.52","2.28M","0.34%"
"02/13/2025","239.16","236.24","239.31","235.91","3.91M","1.42%"
"02/12/2025","235.82","233.00","236.10","232.74","4.28M","-0.22%"
"02/11/2025","236.33","234.91","237.28","234.75","3.23M","0.05%"
"02/10/2025","236.22","234.66","236.81","234.59","3.03M","1.46%"
"02/07/2025","232.82","235.78","236.91","232.04","4.28M","-0.86%"
"02/06/2025","234.83","234.19","235.31","233.15","3.40M","0.27%"
"02/05/2025","234.19","231.19","234.24","230.46","2.70M","1.39%"
"02/04/2025","230.98","228.48","231.34","228.40","4.19M","1.44%"
"02/03/2025","227.70","225.70","229.09","224.49","6.88M","-1.35%"
"01/31/2025","230.81","234.33","235.73","230.19","5.37M","-0.59%"
"01/30/2025","232.17","231.33","232.97","229.74","4.42M","0.19%"
"01/29/2025","231.74","233.18","233.29","229.49","4.53M","-0.81%"
"01/28/2025","233.64","229.11","234.16","226.69","5.63M","2.67%"
"01/27/2025","227.57","228.58","230.98","225.47","10.35M","-4.90%"
"01/24/2025","239.30","242.58","242.58","238.52","3.30M","-1.04%"
"01/23/2025","241.82","239.53","241.87","239.30","3.80M","0.18%"
"01/22/2025","241.39","239.25","241.95","238.91","5.12M","2.26%"
"01/21/2025","236.06","234.89","236.64","233.26","3.37M","0.83%"
"01/17/2025","234.11","234.66","234.94","233.08","3.37M","1.57%"
"01/16/2025","230.50","234.18","234.33","230.45","2.68M","-0.77%"
"01/15/2025","232.29","230.87","232.97","230.11","5.23M","1.99%"
"01/14/2025","227.76","228.92","229.54","225.95","3.61M","0.26%"
"01/13/2025","227.16","225.10","227.32","224.45","5.33M","-0.71%"
"01/10/2025","228.78","231.42","231.46","227.43","5.83M","-2.18%"
"01/08/2025","233.88","234.50","234.54","231.63","5.01M","-0.03%"
"01/07/2025","233.96","240.00","240.00","233.14","5.00M","-2.01%"
"01/06/2025","238.75","238.44","241.06","237.81","4.49M","1.27%"
"01/03/2025","235.75","233.39","236.00","232.93","4.56M","1.63%"
"01/02/2025","231.97","234.36","235.02","229.78","6.39M","-0.24%"
"12/31/2024","232.52","235.11","235.27","231.76","4.69M","-0.83%"
