"Date","Price","Open","High","Low","Vol.","Change %"
"05/20/2025","82.60","82.27","82.84","82.27","12.72M","0.35%"
"05/19/2025","82.31","81.85","82.36","81.61","13.60M","0.29%"
"05/16/2025","82.07","81.22","82.07","81.10","11.97M","1.15%"
"05/15/2025","81.14","79.58","81.19","79.26","13.37M","2.05%"
"05/14/2025","79.51","79.79","79.91","79.36","10.35M","-0.54%"
"05/13/2025","79.94","80.76","80.88","79.65","13.15M","-1.35%"
"05/12/2025","81.03","80.97","81.23","80.33","18.91M","0.15%"
"05/09/2025","80.91","81.03","81.34","80.82","9.23M","-0.58%"
"05/08/2025","81.38","81.57","81.95","81.07","11.02M","-0.12%"
"05/07/2025","81.48","81.43","81.85","81.16","10.47M","0.16%"
"05/06/2025","81.35","81.33","81.63","80.97","10.51M","-0.17%"
"05/05/2025","81.49","81.58","81.68","81.00","10.24M","-0.09%"
"05/02/2025","81.56","81.58","81.86","81.21","14.86M","0.54%"
"05/01/2025","81.12","81.29","81.55","80.83","13.20M","-0.87%"
"04/30/2025","81.83","81.69","82.15","80.67","10.57M","0.73%"
"04/29/2025","81.24","80.23","81.30","79.79","10.07M","0.83%"
"04/28/2025","80.57","80.91","81.22","80.14","12.09M","-0.33%"
"04/25/2025","80.84","81.20","81.44","80.00","14.38M","-0.26%"
"04/24/2025","81.05","81.21","81.33","80.68","12.48M","-0.88%"
"04/23/2025","81.77","82.38","82.71","81.13","17.72M","-0.57%"
"04/22/2025","82.24","81.40","82.71","81.26","11.26M","1.42%"
"04/21/2025","81.09","81.94","82.03","80.20","13.80M","-0.95%"
"04/17/2025","81.87","80.51","82.25","80.39","13.66M","2.13%"
"04/16/2025","80.16","81.37","81.49","79.82","13.66M","-1.07%"
"04/15/2025","81.03","81.84","81.94","80.98","8.92M","-0.84%"
"04/14/2025","81.72","80.69","82.04","80.33","12.39M","1.71%"
"04/11/2025","80.35","79.65","80.86","78.90","19.01M","1.26%"
"04/10/2025","79.35","79.30","80.15","77.97","25.97M","0.05%"
"04/09/2025","79.31","75.96","79.94","75.83","39.36M","3.88%"
"04/08/2025","76.35","78.71","78.97","75.61","26.84M","-1.55%"
"04/07/2025","77.55","76.60","79.38","76.16","45.13M","-1.16%"
