"Date","Price","Open","High","Low","Vol.","Change %"
"05/20/2025","41.88","41.76","42.01","41.74","2.31M","-0.52%"
"05/19/2025","42.10","41.68","42.13","41.63","3.02M","0.21%"
"05/16/2025","42.01","41.57","42.03","41.43","3.42M","1.25%"
"05/15/2025","41.49","40.92","41.51","40.85","4.70M","1.84%"
"05/14/2025","40.74","40.99","40.99","40.54","4.42M","-0.85%"
"05/13/2025","41.09","41.57","41.67","40.94","6.50M","-1.34%"
"05/12/2025","41.65","42.11","42.14","41.44","5.53M","0.10%"
"05/09/2025","41.61","41.39","41.75","41.29","2.54M","0.60%"
"05/08/2025","41.36","41.78","41.80","41.28","3.84M","-0.48%"
"05/07/2025","41.56","41.62","41.92","41.50","3.89M","-0.07%"
"05/06/2025","41.59","41.69","41.92","41.40","2.53M","-0.69%"
"05/05/2025","41.88","41.92","42.10","41.63","3.02M","-0.12%"
"05/02/2025","41.93","41.92","42.06","41.74","4.07M","1.23%"
"05/01/2025","41.42","41.42","41.77","41.15","6.99M","0.29%"
"04/30/2025","41.30","40.85","41.45","40.62","5.10M","0.46%"
"04/29/2025","41.11","40.79","41.29","40.72","4.09M","0.81%"
"04/28/2025","40.78","40.52","40.89","40.41","4.40M","0.62%"
"04/25/2025","40.53","40.61","40.76","40.28","4.51M","-0.15%"
"04/24/2025","40.59","40.49","40.90","40.28","5.09M","0.30%"
"04/23/2025","40.47","40.76","41.23","40.23","8.05M","0.12%"
"04/22/2025","40.42","40.18","40.61","39.98","4.21M","2.04%"
"04/21/2025","39.61","40.11","40.20","39.11","4.36M","-2.08%"
"04/17/2025","40.45","39.97","40.78","39.97","4.79M","1.58%"
"04/16/2025","39.82","39.99","40.35","39.57","6.02M","-0.05%"
"04/15/2025","39.84","39.92","40.15","39.64","4.27M","0.15%"
"04/14/2025","39.78","39.23","40.00","39.11","6.54M","2.21%"
"04/11/2025","38.92","38.18","39.01","37.74","10.74M","1.41%"
"04/10/2025","38.38","38.82","39.25","37.43","19.94M","-2.12%"
"04/09/2025","39.21","36.46","39.38","35.76","27.14M","5.74%"
"04/08/2025","37.08","38.89","38.99","36.65","16.32M","-2.47%"
"04/07/2025","38.02","38.30","39.48","37.17","25.30M","-2.41%"
"04/04/2025","38.96","40.62","40.62","38.92","15.42M","-4.56%"
"04/03/2025","40.82","41.66","42.06","40.76","11.58M","-2.99%"
"04/02/2025","42.08","41.81","42.17","41.60","4.66M","0.48%"
"04/01/2025","41.88","41.99","42.08","41.37","5.90M","0.07%"
"03/31/2025","41.85","41.53","42.12","41.47","7.74M","1.06%"
"03/28/2025","41.41","41.61","41.65","41.17","4.91M","-0.05%"
"03/27/2025","41.43","41.59","41.92","41.33","3.59M","-0.24%"
"03/26/2025","41.53","41.51","41.72","41.34","3.72M","0.51%"
"03/25/2025","41.32","41.82","41.83","41.08","4.66M","-1.20%"
"03/24/2025","41.82","41.50","41.90","41.31","4.46M","0.75%"
"03/21/2025","41.51","41.73","41.80","41.24","6.24M","-0.98%"
"03/20/2025","41.92","41.97","42.16","41.74","3.45M","-0.12%"
"03/19/2025","41.97","41.95","42.29","41.62","3.92M","0.12%"
"03/18/2025","41.92","42.18","42.39","41.76","4.86M","-0.62%"
"03/17/2025","42.18","41.46","42.33","41.46","4.42M","1.76%"
"03/14/2025","41.45","41.04","41.49","40.80","4.55M","1.94%"
"03/13/2025","40.66","41.48","41.71","40.60","6.17M","-1.95%"
"03/12/2025","41.47","41.69","41.81","41.34","6.01M","-0.36%"
"03/11/2025","41.62","42.17","42.31","41.38","7.10M","-1.05%"
"03/10/2025","42.06","42.43","42.89","41.86","9.45M","-0.97%"
"03/07/2025","42.47","42.31","42.64","41.94","7.08M","0.57%"
"03/06/2025","42.23","43.06","43.15","42.17","7.95M","-2.74%"
"03/05/2025","43.42","42.55","43.53","42.54","5.56M","0.93%"
"03/04/2025","43.02","43.56","43.86","42.92","9.77M","-1.15%"
"03/03/2025","43.52","43.30","43.75","43.17","9.87M","0.86%"
"02/28/2025","43.15","43.06","43.24","42.68","5.77M","0.70%"
"02/27/2025","42.85","42.67","43.08","42.59","4.04M","0.45%"
"02/26/2025","42.66","42.95","43.04","42.53","5.47M","-0.49%"
"02/25/2025","42.87","42.56","43.08","42.55","5.70M","1.06%"
"02/24/2025","42.42","42.30","42.65","42.07","4.44M","0.45%"
"02/21/2025","42.23","42.59","42.65","42.02","5.07M","-0.82%"
"02/20/2025","42.58","42.29","42.65","42.06","3.95M","0.69%"
"02/19/2025","42.29","42.03","42.39","41.97","4.41M","0.19%"
"02/18/2025","42.21","41.95","42.38","41.92","5.62M","0.36%"
"02/14/2025","42.06","42.35","42.49","42.05","4.53M","-0.40%"
"02/13/2025","42.23","41.81","42.34","41.67","7.07M","0.79%"
"02/12/2025","41.90","41.43","42.05","41.43","6.83M","-0.85%"
"02/11/2025","42.26","41.83","42.27","41.76","3.28M","0.55%"
"02/10/2025","42.03","42.06","42.10","41.65","3.91M","0.14%"
"02/07/2025","41.97","42.23","42.26","41.78","5.34M","-0.36%"
"02/06/2025","42.12","42.24","42.25","41.82","3.68M","0.29%"
"02/05/2025","42.00","41.83","42.10","41.41","4.36M","1.57%"
"02/04/2025","41.35","41.07","41.46","40.92","4.56M","0.00%"
"02/03/2025","41.35","41.08","41.51","40.68","7.44M","-0.17%"
"01/31/2025","41.42","41.38","41.83","41.29","4.73M","-0.22%"
"01/30/2025","41.51","41.60","41.82","41.14","4.48M","1.32%"
"01/29/2025","40.97","41.50","41.58","40.78","3.95M","-1.16%"
"01/28/2025","41.45","41.90","41.90","41.31","4.37M","-1.22%"
"01/27/2025","41.96","41.50","42.01","41.41","11.14M","0.99%"
"01/24/2025","41.55","41.29","41.84","41.26","4.04M","0.29%"
"01/23/2025","41.43","41.19","41.44","40.79","3.92M","0.80%"
"01/22/2025","41.10","41.75","41.75","41.06","5.84M","-1.75%"
"01/21/2025","41.83","41.26","41.87","41.24","6.11M","1.83%"
"01/17/2025","41.08","41.21","41.31","41.06","4.91M","-0.02%"
"01/16/2025","41.09","40.29","41.13","40.15","5.60M","2.24%"
"01/15/2025","40.19","41.06","41.15","40.14","6.51M","0.42%"
"01/14/2025","40.02","39.81","40.11","39.71","5.02M","0.86%"
"01/13/2025","39.68","39.13","39.69","39.05","5.77M","1.28%"
"01/10/2025","39.18","39.52","39.62","39.15","8.34M","-2.42%"
"01/08/2025","40.15","40.01","40.17","39.62","6.31M","0.43%"
"01/07/2025","39.98","40.42","40.63","39.88","8.87M","-0.74%"
"01/06/2025","40.28","40.86","40.99","40.22","5.98M","-1.37%"
"01/03/2025","40.84","40.38","40.90","40.25","5.13M","1.37%"
"01/02/2025","40.29","40.72","40.77","40.17","9.79M","-0.93%"
"12/31/2024","40.67","40.67","40.75","40.28","7.59M","0.79%"
