"Date","Price","Open","High","Low","Vol.","Change %"
"05/20/2025","82.77","82.40","83.05","82.40","9.04M","0.29%"
"05/19/2025","82.53","81.49","82.57","81.47","8.15M","0.43%"
"05/16/2025","82.18","81.11","82.21","80.91","10.04M","1.47%"
"05/15/2025","80.99","79.62","81.21","79.57","13.32M","2.13%"
"05/14/2025","79.30","79.48","79.50","78.11","11.46M","-0.44%"
"05/13/2025","79.65","79.64","80.27","79.21","12.03M","-0.14%"
"05/12/2025","79.76","80.61","80.82","79.40","13.73M","-0.60%"
"05/09/2025","80.24","80.31","80.33","79.72","8.71M","0.17%"
"05/08/2025","80.10","80.79","80.99","79.99","11.22M","-0.80%"
"05/07/2025","80.75","80.38","81.22","80.10","9.79M","0.29%"
"05/06/2025","80.52","79.56","81.08","79.49","10.32M","1.22%"
"05/05/2025","79.55","79.49","79.79","78.77","7.45M","-0.25%"
"05/02/2025","79.75","79.42","79.99","78.99","8.04M","0.78%"
"05/01/2025","79.13","79.39","80.13","78.87","8.98M","0.29%"
"04/30/2025","78.90","78.99","79.17","77.54","9.04M","-0.50%"
"04/29/2025","79.30","78.58","79.43","78.25","6.58M","0.78%"
"04/28/2025","78.69","78.25","78.85","77.71","5.54M","0.61%"
"04/25/2025","78.21","78.52","78.57","77.86","7.04M","-0.31%"
"04/24/2025","78.45","78.27","78.81","77.71","8.41M","0.15%"
"04/23/2025","78.33","78.77","79.21","77.62","13.95M","0.42%"
"04/22/2025","78.00","76.74","78.17","76.68","10.85M","2.73%"
"04/21/2025","75.93","77.42","77.51","75.03","10.39M","-2.37%"
"04/17/2025","77.77","77.28","78.75","77.28","9.46M","1.03%"
"04/16/2025","76.98","77.87","78.17","76.72","8.75M","-0.90%"
"04/15/2025","77.68","77.86","78.37","77.58","7.63M","-0.01%"
"04/14/2025","77.69","76.92","77.94","76.47","9.71M","1.80%"
"04/11/2025","76.32","75.36","76.58","74.43","14.42M","1.22%"
"04/10/2025","75.40","75.40","76.28","73.83","22.08M","-0.75%"
"04/09/2025","75.97","72.46","76.17","71.02","35.03M","3.94%"
"04/08/2025","73.09","74.70","75.23","72.24","19.80M","-0.41%"
"04/07/2025","73.39","73.39","75.64","71.78","36.58M","-1.53%"
"04/04/2025","74.53","79.29","79.29","74.04","33.08M","-5.56%"
"04/03/2025","78.92","79.32","80.21","78.82","19.33M","-0.63%"
"04/02/2025","79.42","78.99","79.60","78.59","6.48M","0.47%"
"04/01/2025","79.05","78.80","79.28","78.29","9.04M","0.25%"
"03/31/2025","78.85","78.10","79.17","78.08","10.73M","1.12%"
"03/28/2025","77.98","77.88","78.46","77.74","9.54M","0.74%"
"03/27/2025","77.41","77.36","78.05","77.18","6.99M","-0.03%"
"03/26/2025","77.43","76.93","77.61","76.93","7.58M","0.66%"
"03/25/2025","76.92","78.09","78.11","76.56","11.20M","-1.60%"
"03/24/2025","78.17","78.50","79.12","78.10","7.00M","-0.74%"
"03/21/2025","78.75","78.95","79.33","78.26","7.81M","-0.64%"
"03/20/2025","79.26","78.95","79.38","78.78","8.21M","0.41%"
"03/19/2025","78.94","78.69","79.05","78.41","8.08M","0.37%"
"03/18/2025","78.65","78.73","78.87","78.14","9.64M","-0.69%"
"03/17/2025","79.20","78.85","79.65","78.46","9.65M","0.42%"
"03/14/2025","78.87","77.59","78.96","77.31","9.13M","1.95%"
"03/13/2025","77.36","77.43","77.68","76.87","8.40M","0.25%"
"03/12/2025","77.17","77.40","77.85","76.70","8.72M","-0.31%"
"03/11/2025","77.41","78.10","78.40","77.00","16.32M","-0.93%"
"03/10/2025","78.14","77.02","78.37","77.02","18.68M","1.10%"
"03/07/2025","77.29","76.05","77.63","75.83","11.62M","1.86%"
"03/06/2025","75.88","76.89","76.96","75.66","12.70M","-2.08%"
"03/05/2025","77.49","77.52","78.04","76.86","10.33M","-0.70%"
"03/04/2025","78.04","79.33","79.75","77.92","11.28M","-1.63%"
"03/03/2025","79.33","79.14","79.58","78.80","9.64M","0.14%"
"02/28/2025","79.22","78.54","79.25","78.12","10.88M","1.53%"
"02/27/2025","78.03","79.58","79.76","77.95","12.54M","-2.22%"
"02/26/2025","79.80","79.62","80.50","79.36","7.71M","0.42%"
"02/25/2025","79.47","79.40","79.63","78.32","10.92M","-0.50%"
"02/24/2025","79.87","80.50","80.51","79.51","7.49M","-0.50%"
"02/21/2025","80.27","80.26","80.53","79.88","7.77M","0.02%"
"02/20/2025","80.25","80.00","80.44","79.29","8.70M","-0.01%"
"02/19/2025","80.26","79.75","80.50","79.67","6.26M","0.53%"
"02/18/2025","79.84","79.43","79.97","79.16","7.75M","0.94%"
"02/14/2025","79.10","79.39","80.03","79.04","6.99M","-0.42%"
"02/13/2025","79.43","79.40","79.58","78.94","8.51M","0.23%"
"02/12/2025","79.25","78.37","79.44","78.02","7.44M","-0.18%"
"02/11/2025","79.39","78.68","79.43","78.02","5.42M","0.51%"
"02/10/2025","78.99","78.36","79.02","77.93","5.33M","1.09%"
"02/07/2025","78.14","78.28","78.83","78.04","7.17M","-0.20%"
"02/06/2025","78.30","78.73","78.73","77.74","6.41M","-0.11%"
"02/05/2025","78.39","78.38","78.92","77.74","8.00M","1.01%"
"02/04/2025","77.61","77.85","77.98","76.83","10.25M","-0.88%"
"02/03/2025","78.30","76.85","78.59","76.73","14.06M","0.54%"
"01/31/2025","77.88","78.41","78.48","77.70","9.84M","-0.59%"
"01/30/2025","78.34","77.63","78.46","77.56","9.36M","2.08%"
"01/29/2025","76.74","76.56","77.62","76.48","9.57M","0.21%"
"01/28/2025","76.58","77.61","77.61","75.90","14.27M","-1.38%"
"01/27/2025","77.65","77.89","78.08","75.82","21.22M","-2.31%"
"01/24/2025","79.49","78.57","79.72","78.40","8.39M","1.02%"
"01/23/2025","78.69","78.61","79.25","78.47","10.79M","0.47%"
"01/22/2025","78.32","80.27","80.27","78.28","11.82M","-2.16%"
"01/21/2025","80.05","79.73","80.44","79.53","10.82M","1.53%"
"01/17/2025","78.84","78.68","79.20","78.43","7.33M","0.14%"
"01/16/2025","78.73","76.75","78.75","76.72","15.21M","2.53%"
"01/15/2025","76.79","77.00","77.55","76.71","10.68M","1.47%"
"01/14/2025","75.68","74.99","75.91","74.80","9.84M","1.31%"
"01/13/2025","74.70","75.50","75.58","73.91","12.45M","-1.16%"
"01/10/2025","75.58","76.25","76.84","75.22","15.61M","-0.57%"
"01/08/2025","76.01","75.90","76.09","74.76","13.42M","-0.03%"
"01/07/2025","76.03","76.48","76.81","75.83","11.43M","-0.25%"
"01/06/2025","76.22","77.08","77.14","75.96","12.81M","-1.12%"
"01/03/2025","77.08","76.71","77.49","76.38","8.88M","1.06%"
"01/02/2025","76.27","76.24","76.66","75.72","12.05M","0.77%"
"12/31/2024","75.69","75.91","76.14","75.33","6.30M","-0.09%"
