"Date","Price","Open","High","Low","Vol.","Change %"
"05/20/2025","216.03","217.56","218.18","214.99","3.52M","-0.52%"
"05/19/2025","217.16","214.13","217.48","213.68","3.47M","-0.23%"
"05/16/2025","217.67","216.36","217.82","215.78","2.99M","0.95%"
"05/15/2025","215.63","214.07","216.21","213.40","4.20M","-0.22%"
"05/14/2025","216.11","215.83","217.18","215.21","3.56M","0.39%"
"05/13/2025","215.28","213.77","216.18","213.07","5.72M","1.32%"
"05/12/2025","212.47","213.18","213.20","210.39","4.78M","4.97%"
"05/09/2025","202.41","201.96","203.92","201.43","2.58M","0.48%"
"05/08/2025","201.44","201.01","203.52","199.73","3.23M","1.18%"
"05/07/2025","199.09","197.97","199.98","197.25","2.68M","0.78%"
"05/06/2025","197.55","196.86","199.00","196.68","2.41M","-0.87%"
"05/05/2025","199.29","199.81","200.45","198.63","2.34M","-1.06%"
"05/02/2025","201.43","200.45","202.58","199.14","3.73M","1.55%"
"05/01/2025","198.35","198.25","200.94","197.92","3.68M","0.55%"
"04/30/2025","197.26","194.20","197.81","191.63","2.94M","-0.91%"
"04/29/2025","199.07","196.16","199.34","195.93","2.57M","0.71%"
"04/28/2025","197.67","198.37","199.90","194.92","2.78M","0.04%"
"04/25/2025","197.60","194.10","197.73","193.62","2.98M","1.80%"
"04/24/2025","194.11","190.30","194.29","189.83","2.67M","1.99%"
"04/23/2025","190.32","192.88","194.95","189.87","4.48M","2.23%"
"04/22/2025","186.16","182.52","187.95","182.49","4.28M","3.16%"
"04/21/2025","180.45","182.73","182.95","177.97","4.90M","-2.67%"
"04/17/2025","185.40","185.31","186.60","183.80","3.81M","0.63%"
"04/16/2025","184.24","187.08","188.54","181.88","4.29M","-2.47%"
"04/15/2025","188.90","189.96","191.55","187.83","3.34M","-0.72%"
"04/14/2025","190.27","192.55","193.57","187.72","3.86M","0.29%"
"04/11/2025","189.72","187.49","190.10","184.14","4.13M","0.97%"
"04/10/2025","187.90","190.83","190.95","181.80","8.30M","-3.91%"
"04/09/2025","195.54","176.04","196.15","175.75","14.66M","10.89%"
"04/08/2025","176.34","187.44","188.46","173.96","8.70M","-2.38%"
"04/07/2025","180.63","175.85","189.22","173.10","20.62M","-1.18%"
"04/04/2025","182.79","184.62","189.35","181.69","12.64M","-4.31%"
"04/03/2025","191.03","192.28","194.93","190.13","6.90M","-6.04%"
"04/02/2025","203.31","195.93","204.49","195.76","4.68M","1.90%"
"04/01/2025","199.52","197.21","201.13","196.14","5.55M","1.04%"
"03/31/2025","197.46","193.19","198.13","191.81","5.11M","0.21%"
"03/28/2025","197.04","202.19","202.51","196.45","4.94M","-3.11%"
"03/27/2025","203.36","202.59","206.43","202.08","3.37M","0.06%"
"03/26/2025","203.23","205.48","205.93","202.06","3.09M","-1.31%"
"03/25/2025","205.92","204.78","206.04","203.55","3.71M","0.80%"
"03/24/2025","204.29","199.75","204.47","199.75","4.28M","3.46%"
"03/21/2025","197.45","194.39","197.56","193.38","4.90M","0.36%"
"03/20/2025","196.74","195.76","199.26","195.60","4.29M","-0.24%"
"03/19/2025","197.21","194.85","198.33","194.38","4.92M","1.92%"
"03/18/2025","193.50","195.17","195.18","192.70","4.12M","-1.78%"
"03/17/2025","197.01","196.72","198.13","195.31","3.03M","0.16%"
"03/14/2025","196.70","195.55","196.91","193.85","3.15M","2.13%"
"03/13/2025","192.60","197.23","197.23","191.69","5.00M","-2.50%"
"03/12/2025","197.53","199.79","199.99","195.12","4.27M","0.58%"
"03/11/2025","196.39","198.22","199.91","194.39","7.19M","-0.98%"
"03/10/2025","198.33","202.94","203.22","196.58","7.21M","-3.57%"
"03/07/2025","205.67","204.78","206.25","200.27","4.90M","-0.18%"
"03/06/2025","206.05","208.28","209.79","205.14","4.88M","-2.54%"
"03/05/2025","211.41","208.39","211.79","207.47","5.06M","1.52%"
"03/04/2025","208.24","208.37","211.86","205.49","6.92M","-1.76%"
"03/03/2025","211.98","217.22","218.37","209.72","5.49M","-1.84%"
"02/28/2025","215.96","212.51","216.10","211.66","3.85M","1.66%"
"02/27/2025","212.43","216.54","217.14","212.26","3.40M","-1.44%"
"02/26/2025","215.54","217.89","219.11","215.08","3.07M","-0.41%"
"02/25/2025","216.43","217.45","217.95","213.41","4.00M","-0.52%"
"02/24/2025","217.57","219.37","219.69","216.66","2.98M","-0.38%"
"02/21/2025","218.39","224.82","224.88","217.52","4.52M","-2.63%"
"02/20/2025","224.29","225.62","225.62","222.57","2.37M","-0.86%"
"02/19/2025","226.24","225.32","226.36","224.88","2.00M","-0.06%"
"02/18/2025","226.37","226.94","227.24","224.91","3.78M","-0.28%"
"02/14/2025","227.00","228.72","228.92","226.22","1.71M","-0.04%"
"02/13/2025","227.10","225.19","227.32","224.79","3.24M","1.50%"
"02/12/2025","223.74","222.11","224.90","221.52","3.95M","-0.02%"
"02/11/2025","223.78","224.91","225.54","223.23","2.77M","-1.14%"
"02/10/2025","226.35","226.48","227.57","225.44","2.98M","0.34%"
"02/07/2025","225.58","228.52","230.26","225.40","2.77M","-1.96%"
"02/06/2025","230.08","229.82","230.69","228.67","3.02M","0.40%"
"02/05/2025","229.17","230.31","230.88","228.63","2.95M","-1.13%"
"02/04/2025","231.80","229.24","232.03","229.21","1.99M","1.18%"
"02/03/2025","229.10","227.14","230.09","225.21","3.73M","-1.32%"
"01/31/2025","232.17","233.49","235.85","231.72","2.55M","-0.44%"
"01/30/2025","233.20","234.01","234.57","231.45","2.69M","0.98%"
"01/29/2025","230.94","231.79","232.50","230.18","3.27M","-0.28%"
"01/28/2025","231.60","230.65","232.24","229.55","2.61M","0.12%"
"01/27/2025","231.32","226.56","231.42","226.55","3.53M","0.57%"
"01/24/2025","230.01","231.47","231.71","229.57","1.77M","-0.61%"
"01/23/2025","231.42","229.69","231.42","229.08","1.94M","0.60%"
"01/22/2025","230.03","230.41","231.39","229.64","2.47M","-0.38%"
"01/21/2025","230.90","231.29","231.50","228.37","3.02M","0.73%"
"01/17/2025","229.22","229.03","230.66","228.66","1.94M","1.40%"
"01/16/2025","226.05","226.89","226.89","225.15","2.43M","-0.54%"
"01/15/2025","227.28","226.75","227.47","225.18","3.10M","2.54%"
"01/14/2025","221.64","224.30","225.47","220.81","3.38M","-0.19%"
"01/13/2025","222.07","219.14","222.10","218.30","2.71M","0.57%"
"01/10/2025","220.82","222.16","222.54","219.62","3.43M","-0.98%"
"01/08/2025","223.01","222.30","223.89","221.18","2.65M","0.28%"
"01/07/2025","222.38","226.58","227.25","221.57","2.78M","-1.94%"
"01/06/2025","226.77","228.32","228.49","225.54","3.39M","0.39%"
"01/03/2025","225.88","222.64","226.02","221.52","3.25M","2.02%"
"01/02/2025","221.40","224.44","225.12","219.99","4.58M","-1.31%"
"12/31/2024","224.35","227.28","227.95","223.97","2.63M","-0.75%"
"12/30/2024","226.05","226.25","227.51","224.63","2.71M","-1.61%"
"12/27/2024","229.74","232.05","232.05","228.63","3.05M","-1.65%"
"12/26/2024","233.60","233.97","234.45","232.57","2.06M","-0.37%"
"12/24/2024","234.47","230.14","234.50","229.95","1.28M","2.31%"
"12/23/2024","229.17","228.89","229.40","226.18","2.96M","0.11%"
