date,regime_signal_fftfeat,close,regime_signal_fused,regime_signal_combined
2014-01-02,,182.92,,0
2014-01-03,-1.0,182.89,0.0,-1
2014-01-06,-1.0,182.36,0.0,-1
2014-01-07,-1.0,183.48,0.0,-1
2014-01-08,-1.0,183.52,0.0,-1
2014-01-09,-1.0,183.64,0.0,-1
2014-01-10,-1.0,184.14,0.0,-1
2014-01-13,-1.0,181.69,0.0,-1
2014-01-14,-1.0,183.67,0.0,-1
2014-01-15,-1.0,184.66,0.0,-1
2014-01-16,-1.0,184.42,0.0,-1
2014-01-17,-1.0,183.64,0.0,-1
2014-01-21,-1.0,184.18,0.0,-1
2014-01-22,-1.0,184.3,0.0,-1
2014-01-23,-1.0,182.79,0.0,-1
2014-01-24,-1.0,178.89,-1.0,-2
2014-01-27,-1.0,178.01,-1.0,-2
2014-01-28,-1.0,179.07,-1.0,-2
2014-01-29,-1.0,177.35,-1.0,-2
2014-01-30,-1.0,179.23,-1.0,-2
2014-01-31,-1.0,178.18,-1.0,-2
2014-02-03,-1.0,174.17,-1.0,-2
2014-02-04,-1.0,175.39,0.0,-1
2014-02-05,-1.0,175.17,0.0,-1
2014-02-06,-1.0,177.48,0.0,-1
2014-02-07,-1.0,179.68,0.0,-1
2014-02-10,-1.0,180.01,0.0,-1
2014-02-11,-1.0,181.98,0.0,-1
2014-02-12,-1.0,182.07,0.0,-1
2014-02-13,-1.0,183.01,0.0,-1
2014-02-14,-1.0,184.02,0.0,-1
2014-02-18,-1.0,184.24,0.0,-1
2014-02-19,-1.0,183.02,0.0,-1
2014-02-20,-1.0,184.1,0.0,-1
2014-02-21,-1.0,183.89,0.0,-1
2014-02-24,-1.0,184.91,0.0,-1
2014-02-25,-1.0,184.84,0.0,-1
2014-02-26,-1.0,184.85,0.0,-1
2014-02-27,-1.0,185.82,0.0,-1
2014-02-28,-1.0,186.29,0.0,-1
2014-03-03,-1.0,184.98,0.0,-1
2014-03-04,-1.0,187.58,0.0,-1
2014-03-05,-1.0,187.75,0.0,-1
2014-03-06,-1.0,188.18,0.0,-1
2014-03-07,-1.0,188.26,0.0,-1
2014-03-10,-1.0,188.16,0.0,-1
2014-03-11,-1.0,187.23,0.0,-1
2014-03-12,-1.0,187.28,0.0,-1
2014-03-13,-1.0,185.18,0.0,-1
2014-03-14,-1.0,184.66,0.0,-1
2014-03-17,-1.0,186.33,0.0,-1
2014-03-18,-1.0,187.66,0.0,-1
2014-03-19,-1.0,186.66,0.0,-1
2014-03-20,-1.0,187.75,0.0,-1
2014-03-21,-1.0,186.2,0.0,-1
2014-03-24,-1.0,185.43,0.0,-1
2014-03-25,-1.0,186.31,0.0,-1
2014-03-26,-1.0,184.97,0.0,-1
2014-03-27,-1.0,184.58,0.0,-1
2014-03-28,-1.0,185.49,0.0,-1
2014-03-31,-1.0,187.01,0.0,-1
2014-04-01,-1.0,188.25,0.0,-1
2014-04-02,-1.0,188.88,0.0,-1
2014-04-03,-1.0,188.63,0.0,-1
2014-04-04,-1.0,186.4,0.0,-1
2014-04-07,-1.0,184.34,0.0,-1
2014-04-08,-1.0,185.1,0.0,-1
2014-04-09,-1.0,187.09,0.0,-1
2014-04-10,-1.0,183.16,-1.0,-2
2014-04-11,-1.0,181.51,0.0,-1
2014-04-14,-1.0,182.94,0.0,-1
2014-04-15,-1.0,184.2,0.0,-1
2014-04-16,-1.0,186.13,0.0,-1
2014-04-17,-1.0,186.39,0.0,-1
2014-04-21,-1.0,187.04,0.0,-1
2014-04-22,-1.0,187.89,0.0,-1
2014-04-23,-1.0,187.45,0.0,-1
2014-04-24,-1.0,187.83,0.0,-1
2014-04-25,-1.0,186.29,0.0,-1
2014-04-28,0.0,186.88,0.0,0
2014-04-29,0.0,187.75,0.0,0
2014-04-30,0.0,188.31,0.0,0
2014-05-01,-1.0,188.33,0.0,-1
2014-05-02,-1.0,188.06,0.0,-1
2014-05-05,-1.0,188.42,0.0,-1
2014-05-06,-1.0,186.78,0.0,-1
2014-05-07,-1.0,187.88,0.0,-1
2014-05-08,-1.0,187.68,0.0,-1
2014-05-09,-1.0,187.96,0.0,-1
2014-05-12,0.0,189.79,0.0,0
2014-05-13,0.0,189.96,0.0,0
2014-05-14,0.0,189.06,0.0,0
2014-05-15,-1.0,187.4,0.0,-1
2014-05-16,-1.0,188.05,0.0,-1
2014-05-19,-1.0,188.74,0.0,-1
2014-05-20,-1.0,187.55,0.0,-1
2014-05-21,-1.0,189.13,0.0,-1
2014-05-22,-1.0,189.59,0.0,-1
2014-05-23,0.0,190.35,0.0,0
2014-05-27,1.0,191.52,0.0,1
2014-05-28,1.0,191.38,1.0,2
2014-05-29,1.0,192.37,1.0,2
2014-05-30,1.0,192.68,1.0,2
2014-06-02,1.0,192.9,1.0,2
